Downloaded from http://www.GuruFocus.com on 2017-01-14 at 16:33(CST), Saturday
Filename: NAS:AAL.csv
Change log: Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NAS:AAL,American Airlines Group Inc,USA,Industrials,Airlines,AirlinesAirlines
Key Statistics:
"Price ($)","47.65"
"Market Cap ($ Million)","24172.850"
"Shares Outstanding ($ Million)","507.30"
"P/E","5.22"
"P/B","5.63"
"P/S","0.70"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","-15.20","-22.90","15.70"
"EBITDA  Growth (%)","0.00","0.00","10.40"
"Free Cash Flow Growth (%)","0.00","0.00","-34.70"
"Book Value Growth (%)","0.00","0.00","43.90"

20 Year Financials of NAS:AAL - American Airlines Group Inc10 Year Financials of NAS:AAL - American Airlines Group Inc

All Numbers are in Millions except per share data and ratios

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199612","199712","199812","199912","200012","200112","200212","200312","200412","200512","200612","200712","200812","200912","201012","201112","201212","201312","201412","201512","TTM/current",",","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609"
"Revenue per Share","252.663","248.087","268.391","301.685","326.376","329.350","299.952","295.068","310.931","335.184","228.824","205.369","245.676","181.379","178.250","191.855","99.623","95.438","58.105","59.634","67.793","","57.389","64.403","68.193","69.611","48.485","69.312","74.064","77.644","44.619","65.416","76.949","81.098","76.348","79.574","81.807","85.807","80.488","82.755","97.064","83.729","66.068","71.909","77.868","77.219","74.230","70.648","72.549","78.410","74.292","74.956","64.659","79.239","75.728","78.503","73.522","89.264","83.634","76.205","62.670","62.618","54.734","48.759","52.643","53.066","50.888","61.257","65.910","64.147","56.535","46.436","46.749","48.164","46.098","40.747","45.620","40.209","44.912","44.486","48.864","51.111","47.654","48.249","51.565","51.381","23.797","24.442","22.353","23.623","26.294","13.482","15.454","15.151","13.842","13.707","15.301","15.727","14.010","15.430","18.308","20.045"
"EBITDA per Share","46.825","43.203","49.722","42.386","48.966","-14.138","-49.642","13.062","23.380","20.455","24.522","23.281","-1.458","0.874","11.087","-0.656","-3.199","-1.085","7.646","10.337","11.214","","10.535","9.604","13.068","13.683","6.876","12.953","15.778","16.787","3.693","8.065","12.624","13.473","8.031","9.892","17.762","14.791","9.707","5.807","-6.033","-2.538","-12.748","-23.595","-4.146","-16.117","-23.607","-8.797","7.701","9.263","4.771","6.180","7.269","5.358","2.752","5.999","7.852","6.168","-0.712","6.502","8.831","6.040","5.639","5.499","7.584","6.301","4.021","1.882","-10.005","5.235","1.023","0.701","0.564","0.507","-0.729","-0.314","3.674","4.226","2.790","0.265","1.479","2.581","-6.481","-9.862","1.375","1.327","-0.293","0.381","2.038","2.488","-6.684","1.407","2.364","2.031","1.529","2.077","3.225","3.326","1.200","2.798","3.738","3.478"
"EBIT per Share","29.582","27.988","33.786","23.805","29.055","-38.522","-73.163","-10.236","1.834","1.618","12.789","12.518","-13.935","-9.180","2.299","-9.345","-7.267","-4.725","5.584","7.996","8.709","","6.373","5.064","8.582","9.289","5.106","8.197","10.965","11.740","2.559","3.934","8.083","8.706","3.012","4.885","12.962","9.779","4.522","0.365","-12.153","-8.936","-19.192","-29.485","-9.984","-21.960","-29.582","-14.593","1.929","3.388","-1.150","0.764","2.985","0.083","-2.735","1.206","3.891","1.416","-5.502","2.410","5.779","2.934","2.708","2.893","4.943","3.561","1.245","-1.441","-13.461","2.348","-1.923","-1.910","-2.132","-2.048","-3.260","-2.460","1.528","2.340","0.498","-1.954","-0.647","0.393","-7.281","-11.940","-0.711","-0.719","-0.565","-0.437","1.321","1.782","-7.534","0.993","1.930","1.576","1.072","1.608","2.744","2.832","0.690","2.218","3.078","2.723"
"Earnings per Share (diluted)","14.967","14.431","20.134","16.760","13.467","-30.602","-60.455","-20.776","-12.691","-13.869","2.624","4.766","-21.847","-13.360","-3.775","-15.830","-7.520","-6.540","3.930","11.070","9.120","","4.096","2.222","4.364","4.766","3.133","4.337","6.158","6.667","3.025","2.570","4.552","4.712","4.873","2.303","5.248","5.114","0.696","-0.750","-8.809","-7.175","-13.842","-27.015","-8.541","-15.877","-9.076","-17.885","-1.258","0.000","-1.821","-2.758","0.080","-3.561","-6.452","-2.677","0.803","-2.490","-9.639","-1.312","3.052","0.161","0.161","0.803","2.892","1.633","-0.776","-3.667","-15.609","0.321","-3.106","-3.614","-3.722","-3.373","-2.651","-4.070","-0.080","1.044","-0.776","-3.507","-2.276","-1.285","-8.762","-13.253","-1.928","-1.901","9.562","-1.370","0.790","1.020","-7.210","0.650","1.170","1.280","0.830","1.300","2.410","2.490","4.900","1.140","1.680","1.400"
"eps without NRI","15.930","11.861","17.082","11.165","12.878","-30.602","-43.427","-20.776","-12.691","-13.869","2.624","4.766","-21.847","-13.360","-3.775","-15.830","-7.520","-6.540","3.930","11.070","9.120","","5.060","2.220","4.360","4.770","0.720","4.260","6.130","6.640","0.080","0.290","3.640","3.690","3.640","1.530","5.250","5.250","0.700","-0.750","-8.810","-7.180","-13.840","-9.930","-8.540","-15.880","-9.080","-17.880","-1.260","0.000","-1.820","-2.760","0.080","-3.560","-6.450","-2.680","0.800","-2.490","-9.640","-1.310","3.050","0.160","0.160","0.800","2.890","1.630","-0.780","-3.670","-15.610","0.320","-3.110","-3.610","-3.720","-3.370","-2.650","-4.070","-0.080","1.040","-0.780","-3.510","-2.280","-1.290","-8.760","-13.250","-1.930","-1.900","9.560","-1.370","0.790","1.020","-7.210","0.650","1.170","1.280","0.830","1.300","2.410","2.490","4.900","1.140","1.680","1.400"
"Owner Earnings per Share (TTM)","0.000","0.000","0.000","0.000","14.513","-52.180","-76.021","-33.516","-20.077","-4.116","6.517","9.521","-16.112","-9.954","-3.062","-17.392","-9.360","-9.253","2.624","8.699","6.829","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","14.513","3.932","-22.618","-42.751","-52.180","-71.519","-70.889","-80.501","-76.021","-68.090","-58.154","-41.511","-33.516","-15.604","-11.279","-16.868","-20.077","-7.824","2.660","7.526","-4.116","-9.494","-9.310","-7.242","6.517","7.538","7.677","9.811","9.521","7.148","-11.900","-12.590","-16.112","-15.806","-6.094","-9.922","-9.954","-10.327","-7.678","-3.736","-3.062","-2.855","-4.841","-7.645","-17.392","-27.337","-27.149","-28.405","-9.360","-4.773","-3.044","-1.631","-9.253","-2.488","-1.596","-0.805","2.624","3.052","4.107","5.105","8.699","9.040","8.209","6.829"
"Free Cashflow per Share","31.503","20.248","6.972","-21.695","-8.879","-53.806","-51.519","-1.337","-5.170","5.551","14.289","10.933","-23.466","-5.382","-5.797","-6.969","-2.417","-8.704","-3.039","0.143","0.821","","8.236","1.266","7.395","16.478","-4.799","-0.075","1.173","8.432","-2.544","-13.273","-0.813","-0.760","-6.296","-4.520","2.481","0.784","-7.885","-14.395","-7.145","-8.936","-23.360","-18.413","0.674","-16.873","-16.926","-13.135","10.168","4.853","-3.451","2.625","0.817","-3.145","-5.670","3.686","4.944","-2.181","-1.667","9.768","7.143","0.161","0.284","6.469","5.901","0.455","-1.871","2.495","4.789","-13.966","-16.054","2.783","0.440","-4.819","-3.770","1.118","2.428","-5.251","-3.208","2.758","-3.604","-6.317","0.200","6.625","1.279","-4.595","-4.076","-0.742","0.870","-2.003","-6.873","0.282","-0.340","-2.297","-0.683","1.513","0.872","-0.444","-1.894","1.738","1.249","-0.272"
"Dividends per Share","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.200","0.400","0.400","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.100","0.100","0.100","0.100","0.100","0.100","0.100","0.100","0.100"
"Book Value per Share","82.475","90.942","111.152","123.858","126.338","93.120","16.981","0.772","-9.653","-20.952","-7.301","28.555","-28.189","-28.083","-31.677","-56.788","-63.779","-10.504","2.898","9.021","8.458","","82.475","171.244","176.595","88.604","90.942","93.979","97.504","96.315","111.152","94.859","114.514","117.483","123.858","115.712","120.943","126.031","126.338","126.010","116.872","107.990","93.120","84.351","75.580","43.100","16.981","-1.747","-8.461","-8.753","0.772","-2.265","-2.046","-5.302","-9.653","-11.563","-10.202","-11.825","-20.952","-17.981","-6.385","-6.419","-7.301","2.515","6.589","8.898","28.555","26.720","17.697","8.970","-28.189","-29.834","-28.697","-23.025","-28.083","-31.329","-31.594","-29.266","-31.677","-31.709","-36.014","-38.599","-56.788","-69.366","-71.618","-58.896","-63.779","-66.890","-65.565","-63.199","-10.504","1.685","5.671","6.931","2.898","3.984","5.361","5.877","9.021","8.042","8.028","8.458"
