Downloaded from http://www.GuruFocus.com on 2017-01-14 at 16:33(CST), Saturday
Filename: NAS:AAME.csv
Change log: Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NAS:AAME,Atlantic American Corp,USA,Financial Services,Insurance - Life,Insurance - LifeInsurance - Life
Key Statistics:
"Price ($)","3.95"
"Market Cap ($ Million)","80.640"
"Shares Outstanding ($ Million)","20.42"
"P/E","79.00"
"P/B","0.74"
"P/S","0.48"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","4.50","11.90","1.90"
"EBITDA  Growth (%)","-1.80","-2.40","-46.20"
"Free Cash Flow Growth (%)","0.00","-31.80","-80.50"
"Book Value Growth (%)","3.30","3.30","6.30"

20 Year Financials of NAS:AAME - Atlantic American Corp10 Year Financials of NAS:AAME - Atlantic American Corp

All Numbers are in Millions except per share data and ratios

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199612","199712","199812","199912","200012","200112","200212","200312","200412","200512","200612","200712","200812","200912","201012","201112","201212","201312","201412","201512","TTM/current",",","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609"
"Revenue per Share","5.254","5.450","5.577","5.893","7.531","7.540","7.860","4.066","5.688","5.847","5.441","5.602","4.559","4.604","4.784","5.313","6.568","7.229","7.989","8.069","8.106","","1.282","1.040","1.041","1.155","1.449","1.401","1.224","1.244","1.407","1.408","1.447","1.603","1.684","1.753","1.748","1.838","1.972","1.909","1.949","1.861","1.915","1.857","2.209","2.165","2.029","2.605","2.029","1.835","-0.647","2.328","2.350","2.264","-0.800","2.217","2.133","1.838","-1.259","2.152","1.911","1.790","-0.472","1.274","1.250","1.298","1.750","1.171","1.161","1.171","1.035","1.149","1.152","1.144","1.159","1.163","1.215","1.217","1.195","1.251","1.298","1.377","1.365","1.624","1.637","1.658","1.645","1.727","1.950","1.886","1.785","1.953","1.998","2.054","1.966","1.989","2.040","1.960","1.938","2.046","2.046","2.076"
"EBITDA per Share","0.647","1.174","0.642","0.388","0.540","0.423","1.075","0.394","0.396","0.189","0.655","1.571","0.573","0.199","0.599","0.283","0.384","0.599","0.358","0.401","0.238","","0.054","0.000","0.000","0.220","0.393","0.000","0.273","0.320","-0.262","0.271","0.000","0.000","0.158","0.251","0.339","0.386","-0.476","0.141","0.110","0.142","0.037","0.144","0.118","0.018","0.808","0.107","0.129","0.127","0.122","0.177","0.690","0.319","-0.710","-0.025","0.108","0.051","0.031","0.267","0.039","0.170","0.134","0.231","0.232","-0.114","1.217","0.203","-0.038","0.037","0.369","0.172","-0.090","0.376","-0.259","0.059","0.036","0.059","0.444","0.193","-0.084","0.462","-0.290","0.256","-0.063","0.082","0.110","0.082","0.291","0.143","0.089","0.078","0.078","0.107","0.094","0.080","0.220","0.048","0.039","0.100","0.050","0.049"
"EBIT per Share","0.589","0.592","0.570","0.320","0.453","0.346","0.262","0.352","0.334","0.144","0.618","1.059","0.105","0.184","0.145","0.266","0.362","0.573","0.313","0.347","0.182","","0.372","0.000","0.000","0.142","0.156","0.000","0.113","0.163","0.145","0.100","0.000","0.000","0.158","0.129","0.104","0.118","0.088","0.121","0.090","0.123","0.017","0.133","0.106","0.006","0.028","0.093","0.116","0.112","0.112","0.150","0.110","0.023","0.075","-0.037","0.098","0.040","0.024","0.267","0.039","0.170","0.134","0.087","0.105","0.158","0.707","0.074","0.085","0.033","-0.089","0.046","0.029","0.038","0.071","0.054","0.032","0.056","0.003","0.057","0.044","0.108","0.056","0.112","0.071","0.076","0.104","0.075","0.284","0.137","0.082","0.067","0.068","0.095","0.081","0.066","0.207","0.035","0.025","0.086","0.036","0.035"
"Earnings per Share (diluted)","0.090","0.350","0.370","0.460","0.120","0.100","-0.630","0.250","0.180","-0.210","0.330","0.250","-0.250","-0.080","0.020","0.120","0.180","0.480","0.190","0.190","0.052","","0.070","0.080","0.060","0.110","0.100","0.060","0.080","0.130","0.100","0.060","0.020","-0.050","0.430","0.040","0.034","0.071","0.000","0.030","0.010","0.080","-0.020","-0.680","0.030","0.030","-0.010","0.020","0.040","0.130","0.060","0.060","0.040","0.070","0.010","-0.050","0.040","0.010","-0.210","0.140","-0.030","0.100","0.110","0.020","0.000","0.060","0.170","-0.100","0.020","-0.030","-0.140","0.010","-0.010","-0.100","0.020","0.010","0.000","0.020","-0.010","0.020","0.000","0.070","0.030","0.070","0.030","0.040","0.030","0.040","0.260","0.120","0.060","0.030","0.040","0.060","0.060","0.030","0.150","0.010","0.000","0.040","0.010","0.002"
"eps without NRI","0.320","0.350","0.370","0.460","0.120","0.100","0.100","0.230","0.310","-0.210","0.270","0.450","-0.090","-0.080","0.020","0.120","0.180","0.480","0.190","0.190","0.052","","0.070","0.080","0.060","0.110","0.100","0.060","0.080","0.130","0.100","0.060","0.020","-0.050","0.430","0.040","0.030","0.070","0.000","0.030","0.010","0.080","-0.020","0.050","0.030","0.030","-0.010","0.020","0.040","0.130","0.040","0.060","0.040","0.070","0.140","-0.050","0.040","0.010","-0.210","0.140","-0.030","0.100","0.030","0.020","0.010","0.060","0.380","-0.100","0.020","-0.030","-0.080","0.010","-0.010","-0.100","0.020","0.010","0.000","0.020","-0.010","0.020","0.000","0.070","0.030","0.070","0.030","0.040","0.030","0.040","0.260","0.120","0.060","0.030","0.040","0.060","0.060","0.030","0.150","0.010","0.000","0.040","0.010","0.002"
"Owner Earnings per Share (TTM)","0.000","0.000","0.000","0.000","0.251","0.233","0.189","0.225","0.223","-0.277","0.414","0.993","-0.025","0.045","0.300","0.098","0.101","0.638","0.202","0.308","0.238","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.251","0.130","-0.054","-0.291","0.233","-0.476","-0.519","-0.639","0.189","1.100","0.887","0.923","0.225","0.382","0.922","1.280","0.223","0.041","-0.445","-0.625","-0.277","0.033","-0.045","0.035","0.414","0.399","0.575","0.265","0.993","0.640","0.225","0.403","-0.025","0.275","0.285","0.676","0.045","-0.207","0.054","-0.315","0.300","0.589","0.389","0.707","0.098","-0.052","0.159","-0.227","0.101","0.143","-0.318","0.282","0.638","0.587","0.584","0.256","0.202","0.428","0.545","0.535","0.308","0.460","0.059","0.238"
"Free Cashflow per Share","0.049","0.425","0.267","0.217","0.796","0.689","0.615","0.493","0.247","0.509","0.009","-0.021","-0.288","-0.039","0.217","0.407","0.279","0.511","0.016","0.092","0.039","","-0.115","-0.046","0.039","0.119","0.296","0.063","-0.151","0.000","0.351","-0.121","0.080","-0.818","1.065","0.100","0.196","0.162","0.319","0.035","0.110","0.110","0.436","-0.364","0.330","0.182","0.513","0.161","0.087","0.171","0.184","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","-0.256","-0.034","-0.063","0.362","-0.322","0.157","0.000","0.145","-0.508","0.076","0.000","0.087","-0.276","0.025","0.100","0.112","-0.165","0.189","-0.011","0.000","0.000","0.000","0.000","0.000","-0.037","0.063","0.047","0.207","-0.137","0.063","0.382","0.192","-0.284","0.130","-0.109","0.282","-0.209","0.101","0.026","0.168","-0.352","-0.054","0.277"
"Dividends per Share","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.020","0.020","0.020","0.020","0.020","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.020","0.000","0.000","0.000","0.020","0.000","0.000","0.000","0.020","0.000","0.000","0.000","0.000","0.020","0.000","0.000","0.020","0.000","0.000"
"Book Value per Share","3.157","4.135","4.293","3.748","3.926","4.111","3.668","4.099","4.194","3.763","4.375","4.014","3.440","3.472","3.712","4.523","4.980","4.776","5.055","5.014","5.330","","3.157","3.146","3.394","3.815","4.135","4.297","4.426","4.423","4.293","4.168","4.060","3.773","3.748","3.642","3.503","3.695","3.926","4.080","4.127","4.190","4.111","3.425","3.613","3.599","3.668","3.603","3.847","3.862","4.099","4.186","3.894","4.077","4.194","3.831","3.890","3.694","3.763","3.809","3.677","4.286","4.375","4.433","4.288","4.287","4.014","3.844","3.686","3.366","3.440","3.218","3.467","3.572","3.472","3.616","3.764","3.901","3.712","3.678","3.784","4.278","4.523","4.506","4.764","5.036","4.980","4.918","4.624","4.563","4.776","4.831","5.131","4.948","5.055","5.219","5.118","5.015","5.014","5.089","5.273","5.330"
