Downloaded from http://www.GuruFocus.com on 2017-01-14 at 16:33(CST), Saturday
Filename: NAS:AAOI.csv
Change log: Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NAS:AAOI,Applied Optoelectronics Inc,USA,Technology,Semiconductors,SemiconductorsSemiconductors
Key Statistics:
"Price ($)","28.22"
"Market Cap ($ Million)","485.390"
"Shares Outstanding ($ Million)","17.20"
"P/E","26.37"
"P/B","2.59"
"P/S","2.14"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","0.00","0.00","19.90"
"EBITDA  Growth (%)","0.00","0.00","7.30"
"Free Cash Flow Growth (%)","0.00","0.00","0.00"
"Book Value Growth (%)","0.00","0.00","12.70"

20 Year Financials of NAS:AAOI - Applied Optoelectronics Inc10 Year Financials of NAS:AAOI - Applied Optoelectronics Inc

All Numbers are in Millions except per share data and ratios

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199612","199712","199812","199912","200012","200112","200212","200312","200412","200512","200612","200712","200812","200912","201012","201112","201212","201312","201412","201512","TTM/current",",","199509","199512","199603","199606","199609","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201112","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609"
"Revenue per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","181.212","238.425","7.870","8.590","11.486","13.167","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","61.714","70.910","53.823","72.314","2.268","2.383","1.803","2.087","2.344","2.396","2.037","3.127","3.419","3.203","2.978","3.166","3.820"
"EBITDA per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-3.326","12.699","0.314","0.723","1.307","1.263","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","2.650","4.117","0.308","2.963","0.174","0.065","0.110","0.223","0.217","0.170","0.100","0.555","0.352","0.329","0.108","0.251","0.575"
"EBIT per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-15.114","1.639","-0.028","0.317","0.737","0.538","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","-0.117","1.376","-2.586","0.052","0.078","-0.032","0.020","0.132","0.110","0.050","-0.037","0.411","0.207","0.167","-0.066","0.063","0.374"
"Earnings per Share (diluted)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-20.210","-3.560","-0.140","0.280","0.650","1.070","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-20.205","-1.430","0.200","-3.740","-1.040","0.040","3.100","0.010","0.120","0.100","0.040","-0.050","0.380","0.160","0.150","-0.080","0.030","0.970"
"eps without NRI","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-20.210","-3.560","-0.140","0.280","0.650","1.070","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-20.200","-1.430","0.200","-3.740","-1.040","0.040","3.100","0.010","0.120","0.100","0.040","-0.050","0.380","0.160","0.150","-0.080","0.030","0.970"
"Owner Earnings per Share (TTM)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"Free Cashflow per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-23.038","-14.079","-1.597","-2.366","-4.402","-2.100","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","-10.143","-0.256","1.876","-7.520","-0.622","-0.871","-0.684","-0.422","-0.725","-0.566","-1.365","-0.551","-1.257","-1.377","-0.442","-0.254","-0.027"
"Dividends per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"Book Value per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-279.155","-279.545","4.990","7.761","9.822","10.910","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","-279.545","0.000","2.424","-5.909","4.990","7.410","7.553","7.680","7.761","7.717","8.154","9.679","9.822","9.723","9.770","10.910"
"Tangible Book per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-284.227","-285.068","4.847","7.439","9.539","10.629","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","-285.068","0.000","2.282","-6.051","4.847","7.085","7.230","7.359","7.439","7.398","7.836","9.398","9.539","9.441","9.491","10.629"
"Total Debt per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","82.148","86.703","2.066","1.933","3.854","5.369","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","86.703","0.000","2.057","2.120","2.066","1.350","0.651","1.578","1.933","2.518","4.053","2.925","3.854","5.460","4.960","5.369"
"Month End Stock Price","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","15.010","11.220","17.160","28.220","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","10.000","15.010","24.670","23.200","16.100","11.220","13.880","17.360","18.780","17.160","14.910","11.150","22.210"
"Return on Equity %","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-51.540","-3.660","-2.990","4.810","7.700","11.600","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","1.340","-25.640","-7.390","5.050","-4.410","0.390","6.950","5.590","2.450","-2.350","20.570","7.580","6.530","-3.210","1.450","40.000"
"Return on Assets %","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-19.840","-1.580","-1.590","2.910","4.720","6.770","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.630","-12.090","-3.130","2.110","-2.230","0.260","4.980","3.920","1.600","-1.460","11.910","4.500","4.040","-1.870","0.810","22.590"
"Return on Capital  - Joel Greenblatt %","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-20.370","1.080","-0.570","6.170","8.610","5.130","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","7.020","-13.200","0.250","6.230","-2.450","1.770","11.740","8.410","3.280","-2.020","20.500","9.440","6.440","-2.370","2.250","13.710"
"Return on Invested Capital %","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-18.400","0.430","-0.600","6.040","8.730","11.060","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","6.130","-12.920","0.840","5.260","-2.160","1.060","8.950","8.320","5.290","-4.430","16.460","13.630","6.510","-2.720","3.500","34.540"
"Weighted Average Cost Of Capital (WACC) %","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","18.020","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","16.290"
"Effective Interest Rate on Debt %","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","12.340","6.170","4.580","1.190","2.180","2.020","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","10.890","10.610","9.140","4.910","3.030","2.820","1.630","1.330","0.750","1.510","2.450","2.560","1.700","2.030","2.020","2.090"
"Gross Margin %","-","-","-","-","-","-","-","-","-","-","-","-","-","-","31.980","27.950","29.850","29.360","33.920","31.830","30.750","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","115.690","0.000","28.470","28.860","32.020","27.800","30.440","28.110","34.810","34.270","33.230","33.690","33.240","33.710","31.620","29.490","28.270","31.310","33.020"
"Operating Margin %","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-7.640","-7.810","0.280","-0.390","3.940","7.080","4.340","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","48.260","0.000","-0.950","1.760","-4.890","0.250","3.090","-1.250","0.880","5.300","5.120","3.620","-4.350","11.870","10.720","5.200","-3.090","3.570","9.640"
"Net Margin %","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-8.350","-11.140","-1.490","-1.790","3.280","5.680","8.610","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-19.770","0.000","-2.320","0.280","-6.940","-1.440","1.880","-2.190","0.340","5.880","4.310","1.930","-2.230","12.270","4.730","5.060","-2.640","1.090","25.290"
"FCF Margin %","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-15.490","-12.710","-5.900","-20.290","-27.550","-38.320","-15.380","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","168.080","0.000","-16.440","-0.360","3.490","-10.400","-27.420","-36.550","-37.950","-20.220","-30.940","-23.620","-67.010","-17.630","-36.770","-43.000","-14.820","-8.030","-0.700"
"Debt to Equity","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9,999.000","1.049","0.744","0.414","0.249","0.392","0.492","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9,999.000","9,999.000","9,999.000","0.744","9,999.000","0.849","0.852","0.414","0.182","0.086","0.206","0.249","0.326","0.497","0.302","0.392","0.562","0.508","0.492"
"Total Equity to Total Asset","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.385","0.472","0.568","0.626","0.605","0.574","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.472","0.000","0.424","0.413","0.568","0.706","0.728","0.677","0.626","0.617","0.547","0.634","0.605","0.561","0.555","0.574"
"Total Debt to Total Asset","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.404","0.351","0.235","0.156","0.237","0.282","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.351","0.000","0.360","0.352","0.235","0.129","0.063","0.139","0.156","0.201","0.272","0.192","0.237","0.315","0.282","0.282"
"Gross Profit to Total Asset %","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","49.780","31.690","26.050","30.030","26.450","24.180","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","66.240","55.790","60.530","34.180","28.560","26.050","29.040","30.210","27.880","21.740","32.730","30.110","23.560","20.030","23.180","29.500"
"Asset Turnover","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","1.781","1.062","0.887","0.885","0.831","0.790","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.574","0.436","0.544","0.281","0.254","0.187","0.212","0.227","0.207","0.163","0.243","0.238","0.200","0.177","0.185","0.223"
"Dividend Payout Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
