Downloaded from http://www.GuruFocus.com on 2017-01-14 at 16:34(CST), Saturday
Filename: NAS:AAWW.csv
Change log: Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NAS:AAWW,Atlas Air Worldwide Holdings Inc,USA,Industrials,Transportation & Logistics,Airports & Air ServicesAirports & Air Services
Key Statistics:
"Price ($)","52.20"
"Market Cap ($ Million)","1305.500"
"Shares Outstanding ($ Million)","25.01"
"P/E","0.00"
"P/B","0.87"
"P/S","0.71"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","-0.80","8.00","-2.90"
"EBITDA  Growth (%)","1.00","0.50","-36.30"
"Free Cash Flow Growth (%)","0.00","0.00","-196.40"
"Book Value Growth (%)","12.40","12.40","-1.80"

20 Year Financials of NAS:AAWW - Atlas Air Worldwide Holdings Inc10 Year Financials of NAS:AAWW - Atlas Air Worldwide Holdings Inc

All Numbers are in Millions except per share data and ratios

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199612","199712","199812","199912","200012","200112","200212","200312","200412","200512","200612","200712","200812","200912","201012","201112","201212","201312","201412","201512","TTM/current",",","199609","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609"
"Revenue per Share","-","-","-","-","21.395","20.023","30.868","36.034","45.809","77.982","69.968","73.421","75.007","48.655","51.279","52.919","62.000","64.654","71.604","72.854","71.326","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.402","6.054","4.691","3.891","3.949","7.439","6.293","6.130","0.000","9.017","8.539","8.396","10.150","7.769","8.815","9.136","13.883","95.054","108.270","19.524","22.696","16.163","17.473","17.335","19.748","16.651","17.370","18.555","20.902","17.411","20.261","21.266","15.633","11.707","11.395","12.090","14.738","11.402","13.659","12.495","13.788","11.321","13.196","13.718","14.691","13.565","16.020","15.397","17.054","14.272","15.693","16.079","18.363","16.038","17.452","18.584","19.456","17.744","18.090","18.143","18.869","16.848","17.573","18.036"
"EBITDA per Share","-","-","-","-","9.617","1.854","-0.633","1.471","7.219","11.889","9.310","10.014","8.766","8.694","11.466","8.280","12.177","11.738","13.200","9.038","8.511","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.451","2.676","1.070","-1.120","0.952","1.166","0.962","-0.215","0.000","-0.045","0.263","0.499","0.885","-0.513","-0.396","4.608","2.629","8.988","15.992","3.977","3.519","1.223","1.986","1.602","4.629","1.473","2.138","2.533","3.821","0.402","1.344","1.348","5.709","2.662","1.774","1.860","2.854","2.702","2.949","2.655","3.177","1.208","2.031","2.293","2.747","1.593","2.860","3.249","4.479","1.826","2.942","3.420","3.537","2.589","2.621","3.954","4.028","3.875","4.083","1.371","-0.316","2.479","3.594","2.754"
"EBIT per Share","-","-","-","-","7.073","-0.333","-0.633","-0.095","5.192","9.551","7.303","8.063","6.949","7.178","9.842","6.490","9.457","7.770","7.695","3.138","2.068","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.793","2.100","0.545","-1.654","0.285","0.582","0.379","-0.940","0.000","-0.483","-0.243","0.105","0.523","-0.885","-0.830","4.165","2.153","5.299","12.287","3.388","3.071","0.543","1.654","1.086","4.059","1.002","1.648","1.946","3.417","-0.010","0.731","0.924","5.286","2.255","1.386","1.404","2.464","2.351","2.620","2.333","2.552","0.820","1.627","1.838","2.202","0.973","2.255","2.531","3.700","1.030","1.996","2.311","2.431","1.300","1.245","2.586","2.562","2.425","2.619","-0.146","-1.785","0.876","1.929","1.048"
"Earnings per Share (diluted)","-","-","-","-","2.310","-1.650","-1.410","-2.630","1.650","3.560","2.830","6.170","2.970","3.560","5.440","3.640","4.890","3.660","4.250","0.290","-2.100","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.600","0.820","-0.040","-1.280","-0.110","-0.210","-0.170","-0.890","-1.410","-0.990","-0.820","-0.640","-0.180","-1.530","-1.340","0.000","1.650","0.030","0.770","1.440","1.320","-0.180","0.510","0.340","2.160","0.290","2.010","1.510","2.360","-0.250","0.070","0.240","2.900","1.120","0.540","0.700","1.210","1.300","1.250","1.290","1.590","0.400","0.900","1.070","1.270","0.480","1.160","1.270","1.970","0.760","0.780","0.940","1.180","0.320","1.170","1.100","1.660","1.170","1.130","-0.510","-1.520","0.020","-0.280","-0.320"
"eps without NRI","-","-","-","-","2.310","-1.610","-2.570","-2.630","1.650","3.560","2.830","6.170","2.970","3.560","5.440","3.640","4.890","3.660","4.250","0.290","-2.060","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.600","0.820","-0.040","-1.280","-0.110","-0.210","-0.170","-0.890","-2.570","-0.990","-0.820","-0.640","-0.180","-1.530","-1.340","0.000","1.650","0.030","0.770","1.440","1.320","-0.180","0.510","0.340","2.160","0.290","2.010","1.510","2.360","-0.250","0.070","0.240","2.900","1.120","0.540","0.700","1.210","1.300","1.250","1.290","1.590","0.400","0.900","1.070","1.270","0.480","1.160","1.270","1.970","0.760","0.780","0.940","1.180","0.320","1.170","1.100","1.660","1.170","1.130","-0.510","-1.520","0.020","-0.260","-0.300"
"Owner Earnings per Share (TTM)","-","-","-","-","0.000","0.000","0.000","0.000","0.000","5.080","2.814","7.183","2.915","3.167","5.581","-4.978","-3.432","-3.614","-8.595","-8.617","-12.789","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","5.249","5.080","5.027","3.243","-0.632","2.814","3.699","3.163","5.713","7.183","5.412","4.350","1.819","2.915","5.066","5.837","6.914","3.167","2.116","4.471","5.722","5.581","4.284","2.439","1.090","-4.978","-5.082","-5.067","-3.726","-3.432","-3.575","-2.677","-5.393","-3.614","-8.052","-8.838","-9.395","-8.595","-6.665","-5.782","-7.641","-8.617","-12.547","-13.458","-12.789"
"Free Cashflow per Share","-","-","-","-","-6.773","-4.248","0.000","-2.135","2.259","10.266","3.638","6.229","-16.793","7.481","8.070","-24.929","-11.169","-11.740","-10.792","4.029","-9.060","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-0.872","-4.119","-0.878","-1.125","1.909","-1.678","1.003","0.000","-2.011","0.199","0.879","-1.208","0.969","0.636","-0.417","0.785","10.328","14.911","3.513","2.315","0.812","0.528","-0.473","2.789","1.276","-0.637","1.651","3.943","-1.553","-9.914","-3.810","-1.372","2.133","1.198","1.362","2.964","1.065","3.054","1.809","2.148","0.099","-2.208","-1.165","-21.647","-1.343","-2.203","-1.807","-5.820","-7.249","-1.703","-5.803","3.157","-17.557","1.739","1.829","3.207","2.606","0.826","2.757","-2.147","-3.038","-3.597","-0.278"
"Dividends per Share","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"Book Value per Share","-","-","-","-","14.946","12.815","1.873","-0.737","9.001","18.058","22.991","25.380","31.330","34.485","40.341","43.251","48.573","52.627","57.146","59.017","59.334","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","14.946","14.414","13.147","13.033","12.815","12.644","11.754","0.000","0.000","0.000","0.000","-0.737","-2.269","-3.603","6.523","9.001","76.610","81.231","89.126","18.058","17.968","18.580","20.404","22.991","23.073","20.494","22.176","25.380","26.994","27.174","27.395","31.330","33.539","34.316","35.095","34.485","35.795","37.083","38.489","40.341","40.312","41.292","41.910","43.251","43.609","44.922","46.348","48.573","47.961","49.298","51.171","52.627","52.643","53.664","55.326","57.146","57.865","60.492","60.395","59.017","58.675","59.681","59.334"
