Downloaded from http://www.GuruFocus.com on 2017-01-14 at 16:34(CST), Saturday
Filename: NAS:ABCO.csv
Change log: Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NAS:ABCO,The Advisory Board Co,USA,Industrials,Business Services,Business ServicesBusiness Services
Key Statistics:
"Price ($)","41.75"
"Market Cap ($ Million)","1676.160"
"Shares Outstanding ($ Million)","40.15"
"P/E","0.00"
"P/B","3.55"
"P/S","2.14"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","16.80","18.70","11.80"
"EBITDA  Growth (%)","0.00","0.00","-56.30"
"Free Cash Flow Growth (%)","3.50","3.40","-35.00"
"Book Value Growth (%)","12.10","12.10","-13.10"

20 Year Financials of NAS:ABCO - The Advisory Board Co10 Year Financials of NAS:ABCO - The Advisory Board Co

All Numbers are in Millions except per share data and ratios

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199603","199703","199803","199903","200003","200103","200203","200303","200403","200503","200603","200703","200803","200903","201003","201103","201203","201303","201403","201512","TTM/current",",","199509","199512","199603","199606","199609","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200103","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609"
"Revenue per Share","-","-","-","-","1.988","2.280","2.516","2.963","3.261","3.696","4.147","4.881","5.875","6.955","7.626","8.634","10.685","12.418","14.054","18.343","19.527","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.986","0.000","0.617","0.685","0.691","0.748","0.755","0.807","0.776","0.800","0.839","0.861","0.850","0.916","0.960","0.985","0.969","1.011","1.066","1.098","1.119","1.201","1.249","1.293","1.360","1.436","1.481","1.554","1.614","1.696","1.864","1.697","1.816","1.878","1.939","2.020","2.085","2.179","2.265","2.146","2.365","2.662","2.818","2.899","2.889","3.055","3.194","3.297","3.365","3.478","3.531","3.702","3.895","3.929","4.106","4.393","4.278","4.686","4.893","4.794","4.890","4.950"
"EBITDA per Share","-","-","-","-","0.168","0.013","0.401","0.761","0.822","1.000","1.136","0.973","1.254","1.080","0.736","1.115","1.477","1.812","2.158","-0.123","0.798","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.119","0.000","0.122","0.164","0.175","0.184","0.172","0.243","0.203","0.209","0.200","0.214","0.235","0.252","0.247","0.270","0.264","0.275","0.296","0.301","0.223","0.255","0.232","0.259","0.269","0.329","0.307","0.340","0.276","0.259","0.289","0.245","0.243","-0.059","0.245","0.307","0.305","0.291","0.249","0.368","0.244","0.335","0.468","0.434","0.365","0.459","0.419","0.528","0.467","0.495","0.447","0.752","0.503","0.512","0.167","0.087","0.720","0.853","-1.797","0.970","0.889","0.736"
"EBIT per Share","-","-","-","-","0.168","-0.042","0.338","0.700","0.764","0.937","1.074","0.890","1.125","0.880","0.480","0.789","1.049","1.253","1.317","-1.869","-1.064","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.122","0.000","0.108","0.148","0.158","0.167","0.158","0.226","0.187","0.193","0.187","0.201","0.219","0.236","0.232","0.253","0.248","0.257","0.280","0.289","0.205","0.234","0.211","0.236","0.242","0.299","0.271","0.305","0.234","0.207","0.244","0.183","0.173","-0.122","0.190","0.239","0.217","0.216","0.170","0.191","0.152","0.228","0.358","0.315","0.252","0.337","0.268","0.355","0.293","0.309","0.212","0.505","0.254","0.248","-0.154","-0.330","0.284","0.421","-2.247","0.498","0.423","0.262"
"Earnings per Share (diluted)","-","-","-","-","0.170","-0.020","0.310","0.425","0.500","0.610","0.645","0.705","0.860","0.650","0.365","0.560","0.730","0.640","0.650","-2.840","-1.150","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-18.560","-0.020","0.140","0.085","0.095","0.100","0.095","0.135","0.120","0.125","0.125","0.130","0.145","0.155","0.145","0.165","0.170","0.175","0.085","0.220","0.165","0.185","0.170","0.190","0.190","0.225","0.210","0.235","0.180","0.160","0.185","0.130","0.135","-0.070","0.135","0.160","0.145","0.150","0.120","0.150","0.110","0.150","0.230","0.230","0.110","0.210","0.130","0.170","0.100","0.240","0.100","0.200","-0.090","0.180","-0.190","-0.580","0.180","0.020","-2.510","0.250","0.180","0.930"
"eps without NRI","-","-","-","-","0.170","-0.020","0.310","0.425","0.500","0.610","0.645","0.705","0.860","0.650","0.365","0.550","0.660","0.640","0.650","-2.840","-1.150","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-18.560","-0.020","0.140","0.090","0.100","0.100","0.100","0.140","0.120","0.130","0.130","0.130","0.150","0.160","0.150","0.170","0.170","0.180","0.090","0.220","0.170","0.190","0.170","0.190","0.190","0.230","0.210","0.240","0.180","0.160","0.190","0.130","0.140","-0.070","0.140","0.160","0.150","0.150","0.120","0.140","0.110","0.150","0.230","0.170","0.110","0.210","0.130","0.170","0.100","0.240","0.100","0.200","-0.090","0.180","-0.190","-0.580","0.180","0.020","-2.510","0.250","0.180","0.930"
"Owner Earnings per Share (TTM)","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","1.206","1.054","1.284","0.577","0.609","1.043","2.240","1.691","1.208","-0.937","-1.016","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.206","1.066","-2.068","0.998","1.054","1.087","4.433","1.284","1.284","1.294","1.216","1.009","0.577","0.524","0.210","0.286","0.609","0.582","0.945","1.094","1.043","1.248","1.712","1.839","2.240","2.026","2.317","2.223","1.691","1.560","1.479","1.593","1.208","1.041","0.048","-0.151","0.303","0.300","1.380","-0.937","-0.874","-1.121","-1.016"
"Free Cashflow per Share","-","-","-","-","0.000","0.127","0.590","1.295","0.923","1.046","1.233","1.028","1.362","0.745","1.406","1.162","1.752","1.181","0.746","2.513","1.421","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","1.199","0.000","0.402","0.075","0.356","0.486","0.389","0.090","0.142","0.452","0.241","-0.042","0.191","0.516","0.392","0.095","0.211","0.518","0.411","-0.085","0.213","0.464","0.436","-0.044","0.319","0.579","0.498","-0.165","0.238","0.456","0.239","-0.107","0.353","0.587","0.576","-0.183","0.341","0.588","0.406","-0.057","0.699","0.586","0.525","-0.304","0.981","0.566","-0.064","-0.417","0.676","0.660","-0.179","-0.305","0.041","0.632","0.756","-0.342","1.141","0.959","0.400","-0.373","0.435"
"Dividends per Share","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"Book Value per Share","-","-","-","-","-0.347","-0.055","-0.683","1.404","3.216","3.771","3.887","3.832","3.522","3.198","3.606","4.641","6.435","8.051","9.287","10.803","11.724","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","-0.802","-0.683","-0.548","-0.397","1.197","1.404","1.918","2.056","2.328","3.216","3.091","2.923","3.198","3.771","3.810","3.789","3.692","3.887","4.015","4.098","4.140","3.832","3.935","3.999","4.223","3.522","3.648","3.099","3.066","3.198","3.374","3.339","3.500","3.606","3.878","4.152","4.361","4.641","4.891","5.274","5.858","6.435","6.850","7.207","7.581","8.051","8.130","8.596","8.913","9.287","8.853","8.742","8.806","13.610","13.886","13.487","10.803","10.776","10.580","11.724"
