Downloaded from http://www.GuruFocus.com on 2017-01-14 at 16:38(CST), Saturday
Filename: NAS:ACAT.csv
Change log: Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NAS:ACAT,Arctic Cat Inc,USA,Consumer Cyclical,Autos,Recreational VehiclesRecreational Vehicles
Key Statistics:
"Price ($)","13.64"
"Market Cap ($ Million)","177.960"
"Shares Outstanding ($ Million)","13.05"
"P/E","0.00"
"P/B","1.22"
"P/S","0.34"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","4.70","14.70","-12.40"
"EBITDA  Growth (%)","-4.20","-28.10","-565.60"
"Free Cash Flow Growth (%)","0.00","0.00","0.00"
"Book Value Growth (%)","4.20","4.20","-23.10"

20 Year Financials of NAS:ACAT - Arctic Cat Inc10 Year Financials of NAS:ACAT - Arctic Cat Inc

All Numbers are in Millions except per share data and ratios

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199703","199803","199903","200003","200103","200203","200303","200403","200503","200603","200703","200803","200903","201003","201103","201203","201303","201403","201503","201603","TTM/current",",","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609"
"Revenue per Share","15.559","17.351","17.361","18.917","21.697","23.243","25.517","29.895","33.142","36.958","40.905","34.271","31.191","24.642","25.063","33.524","48.804","53.720","53.385","48.703","42.756","","4.463","2.248","2.850","6.725","4.735","2.825","2.957","6.922","4.086","3.200","3.202","7.473","4.253","3.229","3.452","7.857","6.541","3.581","3.217","8.735","7.094","4.149","3.356","9.347","7.904","4.925","3.469","10.803","9.130","6.450","4.852","11.483","9.133","7.551","5.335","13.862","10.005","7.731","4.966","14.724","11.928","9.022","4.776","11.227","8.871","9.313","5.210","11.294","9.656","5.021","3.812","9.111","7.162","4.593","3.486","9.597","8.151","3.962","4.113","10.972","11.197","5.641","8.021","16.563","15.932","8.228","8.808","17.378","16.533","10.693","10.980","20.076","14.832","7.556","10.371","16.064","12.763","9.339","8.038","12.616"
"EBITDA per Share","1.570","1.821","1.641","1.475","1.869","2.262","2.774","2.863","2.867","2.773","3.102","1.194","0.788","1.319","1.837","3.381","5.288","5.495","1.686","0.275","-3.799","","0.410","-0.040","0.123","1.175","0.420","0.042","0.167","1.174","0.335","-0.050","0.173","1.000","0.308","-0.092","0.161","1.223","0.540","-0.057","0.212","1.350","0.713","-0.021","0.272","1.500","1.008","0.001","0.166","1.693","0.950","0.047","0.201","1.691","0.629","0.333","0.250","1.819","0.578","0.120","-0.019","1.981","0.996","0.104","-0.234","1.644","-0.276","0.048","-0.151","1.609","0.405","-1.078","-0.257","1.600","0.456","-0.478","-0.235","1.803","0.914","-0.633","-0.065","1.980","1.623","-0.388","0.460","3.072","2.239","-0.489","0.870","2.902","1.729","-0.048","0.664","2.228","0.760","-1.962","0.119","1.899","-0.067","-1.698","-0.978","-1.056"
"EBIT per Share","1.192","1.361","1.190","1.062","1.460","1.653","2.080","2.009","1.925","1.651","1.729","-0.446","-0.816","0.074","0.984","2.634","4.416","4.451","0.501","-1.247","-5.351","","0.297","-0.129","0.033","1.046","0.308","-0.081","0.067","1.041","0.216","-0.143","0.077","0.869","0.203","-0.158","0.079","1.099","0.407","-0.125","0.089","1.218","0.477","-0.139","0.108","1.325","0.783","-0.127","-0.004","1.434","0.658","-0.084","-0.001","1.370","0.393","0.155","0.018","1.417","0.324","-0.110","-0.325","1.544","0.568","-0.088","-0.542","1.126","-0.803","-0.234","-0.449","1.136","-0.212","-1.293","-0.477","1.201","0.034","-0.684","-0.379","1.496","0.657","-0.783","-0.196","1.765","1.417","-0.550","0.226","2.803","2.023","-0.640","0.619","2.642","1.347","-0.192","0.426","1.841","0.449","-2.212","-0.119","1.420","-0.447","-2.116","-1.326","-1.462"
"Earnings per Share (diluted)","0.780","0.880","0.840","0.300","1.100","1.200","1.450","1.400","1.360","1.200","1.150","-0.180","-0.530","0.100","0.700","1.720","2.890","2.900","0.380","-0.710","-3.270","","0.200","-0.080","0.030","0.680","0.210","-0.040","0.050","0.680","0.160","-0.050","0.070","0.080","0.170","-0.020","0.080","0.760","0.300","-0.040","0.080","0.840","0.340","-0.080","0.080","0.910","0.530","-0.070","0.000","0.980","0.460","-0.040","0.010","0.940","0.280","0.140","0.020","0.960","0.240","-0.020","-0.230","1.030","0.430","-0.070","-0.390","0.760","-0.580","0.020","-0.390","0.930","-0.150","-0.930","-0.330","0.810","0.140","-0.530","-0.250","0.970","0.500","-0.530","-0.130","1.150","0.920","-0.220","0.140","1.800","1.300","-0.390","0.400","1.700","0.890","-0.100","0.270","1.180","0.570","-1.670","-0.080","0.850","-0.180","-1.300","-0.810","-0.980"
"eps without NRI","0.780","0.880","0.840","0.300","1.100","1.200","1.450","1.400","1.360","1.200","1.150","-0.180","-0.530","0.100","0.700","1.720","2.890","2.900","0.380","-0.710","-3.270","","0.200","-0.080","0.030","0.680","0.210","-0.040","0.050","0.680","0.160","-0.050","0.070","0.080","0.170","-0.020","0.080","0.760","0.300","-0.040","0.080","0.840","0.340","-0.080","0.080","0.910","0.530","-0.070","0.000","0.980","0.460","-0.040","0.010","0.940","0.280","0.140","0.020","0.960","0.240","-0.020","-0.230","1.030","0.430","-0.070","-0.390","0.760","-0.580","0.020","-0.390","0.930","-0.150","-0.930","-0.330","0.810","0.140","-0.530","-0.250","0.970","0.500","-0.530","-0.130","1.150","0.920","-0.220","0.140","1.800","1.300","-0.390","0.400","1.700","0.890","-0.100","0.270","1.180","0.570","-1.670","-0.080","0.850","-0.180","-1.300","-0.810","-0.980"
"Owner Earnings per Share (TTM)","0.000","0.000","0.000","0.000","0.378","0.751","0.866","2.095","0.215","2.501","0.787","-1.732","-0.480","0.376","-1.236","4.949","1.291","1.995","2.901","-0.767","-4.199","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","-0.400","0.378","0.445","0.249","0.676","0.751","0.850","0.617","1.485","0.866","0.837","1.809","0.529","2.095","2.154","1.964","3.527","0.215","1.011","1.786","1.139","2.501","0.418","-0.646","0.508","0.787","1.526","0.834","-2.525","-1.732","-1.034","-1.367","-0.129","-0.480","0.391","0.332","2.168","0.376","0.248","1.044","-1.615","-1.236","0.500","-0.239","4.406","4.949","3.889","4.666","-0.772","1.291","3.109","2.068","3.707","1.995","1.206","1.485","2.965","2.901","-1.001","-0.183","-1.660","-0.767","-1.809","-4.199"
"Free Cashflow per Share","0.226","1.175","1.852","1.118","0.070","0.739","0.714","1.975","0.128","1.921","1.002","-1.042","0.297","1.245","-0.911","4.911","1.192","1.456","2.866","-1.450","-4.157","","-0.300","0.090","-0.530","0.830","0.684","0.191","-0.547","1.106","0.967","0.388","-0.531","0.360","1.393","-0.102","-1.118","0.708","-0.117","0.614","-0.961","0.466","0.264","0.979","-1.038","0.238","1.363","0.204","-1.098","1.220","0.044","1.821","-1.149","1.195","1.540","-1.439","-0.437","1.923","0.772","-0.327","-2.658","0.985","2.314","0.388","-1.812","0.447","-0.945","1.283","-1.185","0.204","0.266","1.008","-0.253","0.240","2.208","-0.952","-0.328","0.870","-0.730","-0.714","1.171","-0.003","3.992","-0.536","-0.692","0.786","-0.205","1.303","1.078","-0.364","1.385","-0.654","0.358","-0.098","3.003","-0.390","-3.925","0.301","1.449","0.709","-4.732","-1.583"
"Dividends per Share","0.360","0.240","0.240","0.240","0.240","0.240","0.240","0.260","0.280","0.280","0.280","0.280","0.210","0.000","0.000","0.000","0.000","0.400","0.500","0.375","0.250","","0.120","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.070","0.070","0.070","0.070","0.070","0.070","0.070","0.070","0.070","0.070","0.070","0.070","0.070","0.070","0.070","0.070","0.070","0.070","0.070","0.070","0.070","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.100","0.100","0.100","0.100","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.000","0.000","0.000"
"Book Value per Share","5.730","6.108","6.649","6.531","7.137","7.812","8.494","8.855","9.229","9.746","10.441","10.081","9.113","9.179","10.002","10.603","13.218","14.367","13.928","12.837","11.285","","5.950","5.730","5.687","6.283","6.401","6.297","6.165","6.773","6.843","6.649","6.566","6.590","6.578","6.531","6.527","7.073","7.278","7.137","7.153","7.817","8.016","7.812","7.272","8.225","8.702","8.494","8.167","8.632","9.075","8.855","8.541","9.229","9.382","9.229","8.969","9.575","9.756","9.746","9.461","10.434","10.592","10.441","9.801","10.423","9.923","10.081","9.580","10.205","10.080","9.113","8.825","9.733","9.858","9.179","8.998","9.998","10.457","10.002","9.928","11.204","11.498","10.603","7.322","12.329","13.637","13.218","13.812","15.008","15.803","14.367","14.314","15.485","15.922","13.928","13.861","14.667","14.365","12.837","12.099","11.285"
