Downloaded from http://www.GuruFocus.com on 2017-01-14 at 16:38(CST), Saturday
Filename: NAS:ACET.csv
Change log: Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NAS:ACET,Aceto Corp,USA,Healthcare,Drug Manufacturers,Drug Manufacturers - Specialty & GenericDrug Manufacturers - Specialty & Generic
Key Statistics:
"Price ($)","20.68"
"Market Cap ($ Million)","621.460"
"Shares Outstanding ($ Million)","30.05"
"P/E","20.47"
"P/B","2.00"
"P/S","1.10"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","4.90","3.60","-0.70"
"EBITDA  Growth (%)","16.50","22.20","-14.90"
"Free Cash Flow Growth (%)","0.00","6.70","608.60"
"Book Value Growth (%)","7.10","7.10","14.10"

20 Year Financials of NAS:ACET - Aceto Corp10 Year Financials of NAS:ACET - Aceto Corp

All Numbers are in Millions except per share data and ratios

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199706","199806","199906","200006","200106","200206","200306","200406","200506","200606","200706","200806","200906","201006","201106","201206","201306","201406","201506","201606","TTM/current",",","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609"
"Revenue per Share","6.660","7.765","7.385","8.704","7.974","10.366","11.374","12.108","12.705","12.091","12.686","14.500","12.917","13.742","15.803","16.574","18.204","17.862","18.701","18.881","18.649","","1.420","1.899","1.848","1.884","1.735","2.144","2.041","1.552","2.012","2.012","1.803","1.715","2.268","2.639","2.055","1.997","1.861","2.141","2.524","2.160","2.508","2.781","2.926","3.068","2.886","3.084","2.812","3.020","2.883","3.184","3.236","3.263","3.066","3.342","2.989","3.044","2.829","3.293","2.923","3.040","3.068","3.060","3.528","3.200","3.107","3.971","4.222","3.774","2.967","3.185","2.994","2.822","2.854","3.927","4.193","3.437","3.375","4.421","4.644","3.804","4.141","4.519","4.138","4.104","4.172","5.489","4.485","4.553","4.093","4.364","4.887","4.483","4.238","4.982","5.012","4.542","4.449","5.332","4.578","4.290"
"EBITDA per Share","0.413","0.513","0.340","0.508","0.358","0.424","0.623","0.759","0.574","0.608","0.704","0.996","0.588","0.524","0.921","1.280","1.589","1.921","2.382","2.486","2.256","","0.087","0.104","0.201","0.086","0.111","0.106","0.208","0.051","0.109","0.094","0.088","0.082","0.094","0.174","0.129","0.083","0.101","0.148","0.043","0.066","0.105","0.116","0.144","0.168","0.166","0.169","0.146","0.201","0.182","0.230","0.135","0.202","0.164","0.134","0.088","0.133","0.104","0.186","0.189","0.166","0.130","0.154","0.261","0.184","0.092","0.224","0.510","0.304","0.083","0.117","0.084","0.092","-0.120","0.281","0.270","0.203","0.129","0.318","0.272","0.271","0.357","0.369","0.284","0.363","0.343","0.502","0.384","0.697","0.455","0.355","0.419","0.401","0.494","0.629","0.888","0.641","0.611","0.707","0.530","0.408"
"EBIT per Share","0.405","0.505","0.323","0.481","0.317","0.350","0.579","0.713","0.521","0.544","0.631","0.901","0.514","0.414","0.710","1.021","1.336","1.638","1.977","2.057","1.826","","0.087","0.104","0.197","0.086","0.111","0.106","0.204","0.047","0.109","0.089","0.079","0.078","0.089","0.162","0.123","0.075","0.088","0.137","0.032","0.049","0.089","0.094","0.124","0.156","0.155","0.158","0.135","0.191","0.172","0.217","0.123","0.188","0.151","0.120","0.076","0.119","0.090","0.170","0.170","0.150","0.110","0.137","0.241","0.158","0.069","0.195","0.492","0.286","0.067","0.101","0.060","0.067","-0.145","0.254","0.235","0.171","0.095","0.248","0.197","0.206","0.292","0.305","0.218","0.300","0.279","0.439","0.320","0.635","0.392","0.287","0.328","0.298","0.393","0.527","0.789","0.535","0.505","0.598","0.421","0.302"
"Earnings per Share (diluted)","0.245","0.320","0.267","0.299","0.190","0.222","0.320","0.530","0.410","0.380","0.410","0.540","0.350","0.260","0.340","0.630","0.810","1.020","1.140","1.180","1.010","","0.065","0.083","0.076","0.065","0.086","0.089","0.080","0.045","0.083","0.074","0.068","0.056","0.062","0.098","0.083","0.044","0.056","0.098","-0.009","0.024","0.056","0.068","0.074","0.104","0.102","0.107","0.087","0.129","0.127","0.150","0.130","0.140","0.080","0.080","0.110","0.080","0.060","0.110","0.120","0.100","0.070","0.070","0.170","0.050","0.040","0.130","0.320","0.180","0.040","0.080","0.040","0.040","-0.100","0.150","0.170","0.110","-0.050","0.140","0.130","0.110","0.170","0.200","0.140","0.180","0.170","0.280","0.190","0.400","0.240","0.190","0.200","0.170","0.230","0.290","0.460","0.320","0.280","0.350","0.230","0.150"
"eps without NRI","0.245","0.320","0.267","0.299","0.180","0.222","0.400","0.530","0.430","0.380","0.410","0.540","0.350","0.260","0.340","0.630","0.810","1.020","1.140","1.180","1.010","","0.070","0.080","0.080","0.070","0.090","0.090","0.080","0.040","0.080","0.070","0.070","0.060","0.060","0.100","0.080","0.040","0.060","0.100","-0.020","0.020","0.060","0.070","0.070","0.100","0.100","0.110","0.090","0.130","0.130","0.160","0.110","0.140","0.100","0.090","0.120","0.080","0.060","0.110","0.120","0.100","0.070","0.070","0.170","0.050","0.040","0.130","0.320","0.180","0.040","0.080","0.040","0.040","-0.100","0.150","0.170","0.110","-0.050","0.140","0.130","0.110","0.170","0.200","0.140","0.180","0.170","0.280","0.190","0.400","0.240","0.190","0.200","0.170","0.230","0.290","0.460","0.320","0.280","0.350","0.230","0.150"
"Owner Earnings per Share (TTM)","0.000","0.000","0.000","0.000","0.090","0.592","0.253","0.682","-0.178","0.592","0.082","0.492","0.730","-0.762","0.417","0.339","0.652","0.709","0.148","0.662","0.850","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.424","0.236","0.090","0.471","0.370","0.360","0.592","0.259","0.326","0.294","0.253","0.419","0.743","0.679","0.682","0.401","0.103","-0.108","-0.178","-0.009","0.031","0.112","0.592","0.673","0.514","0.570","0.082","0.064","0.176","-0.032","0.492","0.179","-0.116","0.408","0.730","0.589","0.664","0.307","-0.762","-0.366","-0.171","-0.065","0.417","0.536","0.490","0.577","0.339","-0.009","0.208","0.490","0.652","1.002","1.074","0.530","0.709","0.374","0.146","0.456","0.148","0.219","0.572","0.382","0.662","0.850"
"Free Cashflow per Share","0.212","0.352","-0.017","0.324","0.049","0.671","0.352","0.776","-0.201","0.632","0.040","0.570","0.794","-0.932","0.251","0.491","0.836","0.811","0.211","0.658","1.070","","0.000","0.000","0.000","-0.047","0.026","0.000","0.348","0.000","0.000","0.000","0.000","0.118","-0.164","0.322","0.048","-0.020","0.030","0.153","-0.098","0.395","-0.085","0.128","0.233","0.038","0.020","0.090","0.211","0.225","0.377","0.027","0.158","-0.077","-0.029","-0.150","0.054","0.097","0.076","-0.077","0.536","0.179","-0.086","-0.023","-0.029","0.157","0.039","-0.232","0.604","-0.132","-0.221","0.296","0.849","-0.293","-0.224","-0.204","-0.217","0.077","-0.072","-0.049","0.296","0.213","-0.066","0.167","0.177","-0.126","0.166","0.541","0.255","0.270","0.256","-0.113","0.401","-0.070","0.023","0.199","0.058","-0.129","0.320","-0.017","0.482","0.285"
"Dividends per Share","0.071","0.074","0.077","0.089","0.092","0.095","0.085","0.095","0.125","0.150","0.175","0.200","0.200","0.200","0.200","0.200","0.220","0.240","0.240","0.240","0.245","","0.036","0.000","0.036","0.000","0.036","0.000","0.039","0.000","0.039","0.000","0.039","0.000","0.045","0.000","0.045","0.000","0.045","0.000","0.047","0.000","0.047","0.000","0.047","0.000","0.034","0.000","0.051","0.000","0.038","0.000","0.057","0.000","0.050","0.000","0.075","0.000","0.075","0.000","0.075","0.000","0.075","0.000","0.100","0.000","0.100","0.000","0.100","0.000","0.100","0.000","0.100","0.000","0.100","0.000","0.100","0.000","0.100","0.000","0.100","0.000","0.100","0.000","0.100","0.055","0.055","0.055","0.055","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.060","0.065"
"Book Value per Share","2.564","2.800","2.956","3.124","3.153","3.324","3.655","4.166","4.434","4.739","5.131","5.745","5.715","5.493","6.041","6.236","6.994","8.119","8.721","10.285","10.310","","2.442","2.523","2.564","2.530","2.667","2.762","2.800","2.844","2.871","2.926","2.956","2.891","3.014","3.076","3.124","3.171","3.191","3.221","3.153","3.195","3.191","3.254","3.324","3.423","3.419","3.534","3.655","3.800","3.919","4.080","4.166","4.329","4.406","4.452","4.434","4.518","4.494","4.632","4.739","4.865","4.925","5.023","5.131","5.286","5.288","5.481","5.745","5.782","5.714","5.636","5.715","5.844","5.568","5.603","5.493","5.817","5.729","5.976","6.041","6.046","6.029","6.288","6.236","6.412","6.566","6.760","6.994","7.407","7.685","7.853","8.119","8.103","8.199","8.254","8.721","9.032","9.674","10.100","10.285","10.310"
