Downloaded from http://www.GuruFocus.com on 2017-01-14 at 16:38(CST), Saturday
Filename: NAS:ACHC.csv
Change log: Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NAS:ACHC,Acadia Healthcare Co Inc,USA,Healthcare,Health Care Providers,Medical CareMedical Care
Key Statistics:
"Price ($)","37.95"
"Market Cap ($ Million)","3320.640"
"Shares Outstanding ($ Million)","87.50"
"P/E","421.68"
"P/B","1.45"
"P/S","1.18"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","0.00","39.70","29.90"
"EBITDA  Growth (%)","0.00","0.00","35.40"
"Free Cash Flow Growth (%)","0.00","0.00","0.00"
"Book Value Growth (%)","0.00","0.00","9.50"

20 Year Financials of NAS:ACHC - Acadia Healthcare Co Inc10 Year Financials of NAS:ACHC - Acadia Healthcare Co Inc

All Numbers are in Millions except per share data and ratios

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199612","199712","199812","199912","200012","200112","200212","200312","200412","200512","200612","200712","200812","200912","201012","201112","201212","201312","201412","201512","TTM/current",",","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609"
"Revenue per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.522","11.542","10.530","14.194","18.158","26.239","31.826","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.587","0.780","0.955","3.605","3.444","4.017","2.770","2.740","2.456","2.953","3.208","3.530","3.669","3.780","3.990","4.126","4.957","5.330","5.816","6.600","6.746","7.242","7.394","8.708","8.482"
"EBITDA per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.461","-1.823","1.824","2.787","3.713","5.620","6.718","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.226","0.041","-0.016","-0.964","0.306","-1.189","0.204","0.318","0.472","0.458","0.380","0.675","0.718","1.012","0.712","0.968","0.943","1.341","0.897","1.357","1.368","2.009","1.172","1.833","1.704"
"EBIT per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.406","-2.051","1.618","2.447","3.123","4.691","5.266","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.201","0.027","-0.030","-1.074","0.254","-1.251","0.154","0.273","0.423","0.390","0.308","0.591","0.631","0.915","0.604","0.854","0.769","1.142","0.688","1.140","1.131","1.736","0.837","1.410","1.283"
"Earnings per Share (diluted)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.350","-1.860","0.530","0.850","1.500","1.640","0.090","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.159","-0.214","-0.010","-1.240","0.180","-0.780","0.110","0.160","0.150","0.090","0.070","0.240","0.290","0.240","0.260","0.430","0.430","0.370","0.230","0.490","0.420","0.490","0.310","0.650","-1.360"
"eps without NRI","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.380","-1.770","0.530","0.860","1.500","1.640","0.090","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.160","-0.180","-0.010","-1.230","0.200","-0.720","0.100","0.170","0.160","0.090","0.080","0.240","0.290","0.250","0.260","0.430","0.430","0.370","0.230","0.490","0.420","0.490","0.310","0.650","-1.360"
"Owner Earnings per Share (TTM)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","1.543","-0.024","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.272","0.983","1.543","1.466","1.805","-0.024"
"Free Cashflow per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.380","-2.075","0.163","-0.228","-0.382","-0.910","-0.077","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.798","0.106","-0.011","-0.090","0.024","-2.003","0.032","-0.327","-0.737","1.246","-0.235","0.147","-0.093","-0.047","-0.283","-0.349","0.144","0.050","-0.578","0.030","-0.653","0.270","-0.554","0.264","-0.057"
"Dividends per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"Book Value per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","3.000","8.670","9.601","14.879","23.788","25.876","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","3.419","3.000","3.134","5.903","6.070","8.670","8.744","9.010","9.323","9.601","9.880","15.132","14.981","14.879","19.122","23.602","23.622","23.788","29.615","28.142","25.876"
