Downloaded from http://www.GuruFocus.com on 2017-01-14 at 16:39(CST), Saturday
Filename: NAS:ACHN.csv
Change log: Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NAS:ACHN,Achillion Pharmaceuticals Inc,USA,Healthcare,Biotechnology,BiotechnologyBiotechnology
Key Statistics:
"Price ($)","4.20"
"Market Cap ($ Million)","557.860"
"Shares Outstanding ($ Million)","136.68"
"P/E","0.00"
"P/B","1.43"
"P/S","16.67"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","0.00","0.00","1.60"
"EBITDA  Growth (%)","-34.70","-32.70","0.00"
"Free Cash Flow Growth (%)","0.00","0.00","0.00"
"Book Value Growth (%)","0.00","0.00","-6.80"

20 Year Financials of NAS:ACHN - Achillion Pharmaceuticals Inc10 Year Financials of NAS:ACHN - Achillion Pharmaceuticals Inc

All Numbers are in Millions except per share data and ratios

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199512","199612","199712","199812","199912","200012","200112","200212","200412","200512","200612","200712","200812","200912","201012","201112","201212","201312","201412","201512","TTM/current",",","199503","199506","199509","199512","199603","199606","199609","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200212","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609"
"Revenue per Share","-","-","-","-","-","-","0.000","0.000","1.762","17.018","1.089","0.259","-0.012","-0.011","0.054","0.004","0.035","0.000","0.000","0.526","0.494","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-8.900","0.000","0.441","0.441","0.441","0.439","4.856","4.856","3.655","3.653","4.225","4.232","2.327","-0.735","0.100","0.077","0.058","0.025","0.040","0.025","0.001","-0.065","-0.011","0.000","-0.002","0.002","0.002","0.005","0.004","0.044","0.001","0.001","0.001","0.001","0.035","0.000","0.000","0.002","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.006","0.242","0.252","0.000","0.000","0.000"
"EBITDA per Share","-","-","-","-","-","-","0.000","-64.547","-34.592","-22.723","-7.465","-1.738","-1.361","-0.925","-0.548","-0.682","-0.631","-0.622","-0.696","-0.034","-0.277","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","-7.008","-9.216","-3.125","-0.468","-0.466","-0.366","-0.440","-0.367","-0.411","-0.293","-0.430","-0.243","-0.220","-0.228","-0.235","-0.151","-0.159","-0.147","-0.137","-0.173","-0.190","-0.149","-0.189","-0.128","-0.160","-0.203","-0.150","-0.135","-0.205","-0.143","-0.141","-0.165","-0.160","-0.157","-0.218","-0.172","-0.245","0.189","0.137","-0.131","-0.133","-0.150"
"EBIT per Share","-","-","-","-","-","-","0.000","-64.547","-37.404","-24.876","-7.667","-1.803","-1.403","-0.962","-0.561","-0.687","-0.636","-0.627","-0.701","-0.040","-0.283","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","-7.008","-9.519","-3.146","-0.489","-0.487","-0.383","-0.445","-0.369","-0.417","-0.301","-0.457","-0.251","-0.227","-0.236","-0.249","-0.156","-0.164","-0.151","-0.139","-0.174","-0.191","-0.150","-0.191","-0.130","-0.162","-0.204","-0.151","-0.136","-0.206","-0.144","-0.142","-0.166","-0.161","-0.158","-0.219","-0.173","-0.246","0.188","0.135","-0.132","-0.135","-0.151"
"Earnings per Share (diluted)","-","-","-","-","-","-","-57.600","-70.860","-43.770","-32.960","-9.350","-1.800","-1.420","-0.980","-0.570","-0.690","-0.640","-0.630","-0.700","-0.040","-0.280","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-57.220","-70.860","-10.943","-10.943","-10.943","-10.943","-8.080","-8.080","-8.400","-8.400","-11.205","-9.920","-12.690","25.760","-0.490","-0.490","-0.380","-0.440","-0.380","-0.430","-0.310","-0.310","-0.250","-0.230","-0.240","-0.250","-0.160","-0.170","-0.150","-0.100","-0.170","-0.190","-0.150","-0.180","-0.130","-0.160","-0.200","-0.140","-0.140","-0.210","-0.140","-0.140","-0.170","-0.160","-0.160","-0.210","-0.170","-0.250","0.190","0.140","-0.130","-0.140","-0.150"
"eps without NRI","-","-","-","-","-","-","-57.600","-70.860","-43.770","-32.960","-9.350","-1.800","-1.420","-0.980","-0.570","-0.690","-0.640","-0.630","-0.700","-0.040","-0.280","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-57.220","-70.860","-10.940","-10.940","-10.940","-10.940","-8.080","-8.080","-8.400","-8.400","-11.210","-9.920","-12.690","25.760","-0.490","-0.490","-0.380","-0.440","-0.380","-0.430","-0.310","-0.310","-0.250","-0.230","-0.240","-0.250","-0.160","-0.170","-0.150","-0.100","-0.170","-0.190","-0.150","-0.180","-0.130","-0.160","-0.200","-0.140","-0.140","-0.210","-0.140","-0.140","-0.170","-0.160","-0.160","-0.210","-0.170","-0.250","0.190","0.140","-0.130","-0.140","-0.150"
"Owner Earnings per Share (TTM)","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","-1.393","-0.967","-0.610","-0.620","-0.689","-0.632","-0.655","-0.037","-0.562","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","-1.925","-1.314","-1.393","-1.104","-1.094","-1.044","-0.967","-0.706","-0.630","-0.553","-0.610","-0.500","-0.557","-0.509","-0.620","-0.611","-0.631","-0.638","-0.689","-0.591","-0.573","-0.597","-0.632","-0.642","-0.644","-0.620","-0.655","-0.621","-0.618","-0.038","-0.037","-0.033","-0.034","-0.562"
"Free Cashflow per Share","-","-","-","-","-","-","0.000","0.000","-15.153","-28.168","-7.134","-2.001","-1.261","-0.842","-0.534","-0.574","-0.638","-0.575","-0.574","0.039","-0.492","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","-0.469","-0.457","-0.541","-0.534","-0.390","-0.371","-0.260","-0.380","-0.270","-0.212","0.000","0.000","-0.189","-0.128","-0.140","-0.128","-0.141","-0.151","-0.138","-0.158","-0.168","-0.140","-0.164","-0.179","-0.155","-0.138","-0.137","-0.150","-0.140","-0.143","-0.124","-0.171","-0.156","-0.146","0.394","-0.125","-0.121","-0.130","-0.116"
"Dividends per Share","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"Book Value per Share","-","-","-","-","-","-","-86.071","-328.042","-173.972","-191.661","3.048","1.377","0.948","0.038","0.866","1.017","0.905","1.580","1.385","3.291","2.935","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","-173.972","0.000","0.000","0.000","-191.661","0.000","-6.897","-7.305","3.048","2.594","2.132","1.788","1.377","1.042","0.639","1.256","0.948","0.709","0.496","0.271","0.038","0.480","0.327","0.958","0.866","0.704","1.320","1.179","1.017","0.906","0.738","1.027","0.905","2.019","1.831","1.701","1.580","1.430","1.288","1.193","1.385","2.263","2.050","3.148","3.291","3.183","3.067","2.935"
