Downloaded from http://www.GuruFocus.com on 2017-01-14 at 16:39(CST), Saturday
Filename: NAS:ACIW.csv
Change log: Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NAS:ACIW,ACI Worldwide Inc,USA,Technology,Application Software,Software - ApplicationSoftware - Application
Key Statistics:
"Price ($)","19.09"
"Market Cap ($ Million)","2239.060"
"Shares Outstanding ($ Million)","117.29"
"P/E","21.47"
"P/B","3.19"
"P/S","2.34"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","12.80","18.70","-5.60"
"EBITDA  Growth (%)","18.50","24.80","8.10"
"Free Cash Flow Growth (%)","0.00","0.00","-67.60"
"Book Value Growth (%)","12.00","12.00","17.00"

20 Year Financials of NAS:ACIW - ACI Worldwide Inc10 Year Financials of NAS:ACIW - ACI Worldwide Inc

All Numbers are in Millions except per share data and ratios

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199609","199709","199809","199909","200009","200109","200209","200309","200409","200509","200609","200709","200812","200912","201012","201112","201212","201312","201412","201512","TTM/current",",","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609"
"Revenue per Share","1.928","2.453","3.197","3.654","2.644","2.888","2.650","2.587","2.560","2.712","3.033","3.305","4.001","3.914","4.118","4.534","5.568","7.204","8.702","8.796","8.253","","0.579","0.616","0.643","0.860","0.748","0.779","0.806","0.870","0.916","0.905","0.906","0.954","0.698","0.781","0.825","0.346","0.786","0.738","0.700","0.692","0.618","0.616","0.648","0.646","0.586","0.649","0.691","0.670","0.655","0.671","0.630","0.610","0.697","0.648","0.679","0.684","0.746","0.786","0.734","0.769","0.818","0.882","0.779","0.842","0.946","0.859","1.043","1.047","1.028","0.852","0.851","1.019","1.215","0.867","0.920","0.966","1.390","1.025","1.103","1.090","1.316","1.250","1.272","1.270","1.872","1.368","1.694","1.791","2.359","1.922","2.197","2.144","2.485","2.010","2.242","2.001","2.595","1.885","1.904","1.869"
"EBITDA per Share","0.368","0.519","0.679","0.966","-0.209","-0.289","0.555","0.426","0.572","0.620","0.605","0.213","0.523","0.576","0.758","0.927","1.056","1.586","1.928","2.121","2.358","","0.124","0.132","0.146","0.171","0.157","0.175","0.168","0.169","0.199","0.227","0.260","0.279","0.052","0.173","0.099","-0.458","-0.101","0.073","-0.144","-0.128","0.055","0.070","0.130","0.068","0.086","0.130","0.069","0.142","0.177","0.140","0.138","0.118","0.196","0.157","0.150","0.116","0.166","0.220","-0.129","0.055","0.092","0.089","-0.028","0.098","0.080","0.036","0.095","0.098","0.280","0.027","-0.007","0.176","0.381","0.054","0.094","0.126","0.487","0.140","0.177","0.181","0.429","0.088","0.044","0.169","0.760","0.114","0.223","0.379","0.870","0.174","0.375","0.496","0.890","0.292","0.565","0.435","0.836","1.361","0.001","0.160"
"EBIT per Share","0.260","0.419","0.556","0.745","-0.532","-0.682","0.406","0.342","0.515","0.575","0.532","0.025","0.312","0.347","0.499","0.651","0.632","1.003","1.186","1.301","1.487","","0.091","0.106","0.119","0.146","0.130","0.145","0.137","0.134","0.162","0.178","0.194","0.209","-0.023","0.027","0.019","-0.555","-0.180","-0.021","-0.248","-0.245","-0.007","0.016","0.125","0.039","0.062","0.109","0.048","0.123","0.161","0.125","0.124","0.105","0.185","0.147","0.139","0.102","0.150","0.203","-0.147","0.034","0.049","0.039","-0.073","0.050","0.031","-0.016","0.041","0.044","0.229","-0.028","-0.063","0.118","0.320","-0.010","0.028","0.060","0.422","0.073","0.106","0.111","0.361","-0.004","-0.068","0.058","0.644","-0.006","0.084","0.222","0.702","-0.005","0.198","0.306","0.690","0.088","0.366","0.237","0.612","1.140","-0.210","-0.055"
"Earnings per Share (diluted)","0.160","0.273","0.337","0.460","0.023","-0.783","0.143","0.130","0.403","0.373","0.483","-0.083","0.100","0.190","0.267","0.447","0.410","0.530","0.580","0.720","0.890","","0.050","0.063","0.073","0.087","0.083","0.090","0.090","0.073","0.100","0.113","0.120","0.127","-0.013","0.017","0.010","0.010","-0.150","-0.033","-0.203","-0.393","-0.270","0.043","0.047","0.010","0.027","0.037","-0.017","0.080","0.090","0.070","0.163","0.080","0.113","0.097","0.087","0.080","0.133","0.130","0.197","0.023","0.023","-0.023","-0.080","0.023","-0.020","-0.047","0.007","0.017","0.110","-0.040","-0.033","0.077","0.190","-0.020","0.000","0.023","0.267","0.017","0.097","0.103","0.233","-0.017","-0.040","0.047","0.417","-0.017","0.020","0.120","0.420","-0.050","0.100","0.140","0.400","-0.001","0.230","0.120","0.370","0.750","-0.150","-0.080"
"eps without NRI","0.160","0.273","0.337","0.460","0.023","-0.783","0.143","0.130","0.403","0.373","0.483","-0.083","0.100","0.190","0.267","0.447","0.410","0.530","0.580","0.720","0.890","","0.050","0.060","0.070","0.090","0.080","0.090","0.090","0.070","0.100","0.110","0.120","0.130","-0.010","0.020","0.010","0.010","-0.150","-0.030","-0.200","-0.390","-0.030","0.040","0.050","0.010","0.030","0.040","-0.020","0.080","0.090","0.070","0.160","0.080","0.110","0.100","0.090","0.080","0.130","0.130","0.200","0.020","0.020","-0.020","-0.080","0.020","-0.020","-0.050","0.010","0.020","0.110","-0.040","-0.030","0.080","0.190","-0.020","0.000","0.020","0.270","0.020","0.100","0.100","0.230","-0.020","-0.040","0.050","0.420","-0.020","0.020","0.120","0.420","-0.050","0.100","0.140","0.400","-0.001","0.230","0.120","0.370","0.750","-0.150","-0.080"
"Owner Earnings per Share (TTM)","0.000","0.000","0.000","0.000","0.000","-0.454","0.262","-0.025","0.407","0.393","0.420","0.099","0.516","0.241","0.623","0.607","-0.303","0.928","1.047","1.336","1.713","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","-0.357","-0.268","-0.173","-0.454","-0.415","-0.335","-0.224","0.262","0.500","0.446","0.290","-0.025","0.018","0.002","0.178","0.407","0.462","0.508","0.481","0.393","0.376","0.497","0.358","0.420","0.292","0.306","0.161","0.099","0.209","0.308","0.403","0.351","0.516","0.127","0.308","0.207","0.241","0.356","0.220","0.623","0.623","0.665","0.691","0.638","0.607","0.265","0.122","-0.045","-0.303","0.077","0.288","0.470","0.928","0.811","0.890","0.835","1.047","1.325","1.216","1.567","1.336","2.425","2.380","1.713"
"Free Cashflow per Share","0.132","0.240","0.287","0.247","-0.476","0.096","0.704","0.331","0.483","0.413","0.477","0.144","0.631","0.326","0.671","0.629","-0.217","0.881","0.977","1.128","0.443","","0.029","0.055","0.101","0.079","0.037","0.077","0.078","0.095","0.001","0.017","0.084","0.144","-0.131","0.029","-0.036","-0.339","-0.103","0.070","0.136","-0.018","0.112","0.102","0.167","0.324","0.038","0.085","0.104","0.106","0.094","0.085","0.193","0.111","0.119","0.123","0.150","0.021","0.105","0.244","0.040","0.088","-0.050","0.273","-0.026","-0.054","0.077","0.407","-0.081","0.005","0.295","-0.024","0.152","-0.086","0.284","0.095","0.011","0.277","0.291","0.107","0.014","0.233","0.274","-0.134","-0.076","-0.022","0.003","0.219","0.149","0.203","0.313","0.065","0.220","0.112","0.583","0.317","-0.073","0.539","0.352","0.188","0.011","-0.108"
"Dividends per Share","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"Book Value per Share","0.980","1.098","1.605","2.338","2.217","0.763","0.968","1.132","1.656","1.939","2.397","2.101","2.042","2.312","2.561","3.144","4.515","4.664","5.028","5.498","5.924","","1.131","1.141","1.221","1.353","1.384","1.442","1.523","1.605","1.733","2.046","2.161","2.338","2.194","2.280","2.173","2.217","2.094","2.194","2.028","0.763","1.818","1.863","1.864","0.968","0.990","1.034","1.007","1.132","1.253","1.359","1.551","1.656","1.796","1.872","1.831","1.939","2.017","2.194","2.463","2.397","2.447","2.463","2.380","2.101","2.235","2.062","2.108","2.094","2.042","2.002","1.998","2.109","2.312","2.259","2.172","2.276","2.561","2.649","2.784","2.863","3.144","4.435","4.213","4.040","4.515","4.399","4.283","4.133","4.664","4.206","4.406","4.531","5.028","4.946","5.081","5.064","5.498","6.034","5.933","5.924"
