Downloaded from http://www.GuruFocus.com on 2017-01-14 at 16:39(CST), Saturday
Filename: NAS:ACLS.csv
Change log: Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NAS:ACLS,Axcelis Technologies Inc,USA,Technology,Semiconductors,Semiconductor Equipment & MaterialsSemiconductor Equipment & Materials
Key Statistics:
"Price ($)","15.90"
"Market Cap ($ Million)","423.330"
"Shares Outstanding ($ Million)","29.37"
"P/E","8.98"
"P/B","2.36"
"P/S","0.40"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","-6.80","-4.90","-17.70"
"EBITDA  Growth (%)","0.00","0.00","-33.30"
"Free Cash Flow Growth (%)","0.00","0.00","-335.00"
"Book Value Growth (%)","-12.00","-12.00","3.60"

20 Year Financials of NAS:ACLS - Axcelis Technologies Inc10 Year Financials of NAS:ACLS - Axcelis Technologies Inc

All Numbers are in Millions except per share data and ratios

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199612","199712","199812","199912","200012","200112","200212","200312","200412","200512","200612","200712","200812","200912","201012","201112","201212","201312","201412","201512","TTM/current",",","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609"
"Revenue per Share","-","-","-","16.790","30.905","15.029","12.651","13.317","20.077","14.857","18.221","15.891","9.742","5.137","10.532","11.711","7.559","7.188","7.287","9.974","40.244","","-","-","-","-","-","-","-","-","-","-","-","-","16.045","7.153","8.292","7.682","8.585","6.236","4.204","2.523","2.029","2.539","3.637","3.792","2.676","3.426","3.446","2.391","4.138","5.291","5.618","5.065","3.735","3.965","3.665","3.480","3.707","3.847","4.655","4.835","4.867","3.809","4.295","4.209","3.519","3.315","3.002","1.804","1.634","0.996","1.299","1.348","1.496","1.863","2.235","2.871","3.574","3.364","3.430","2.679","2.215","2.055","2.197","1.656","1.659","1.505","1.753","1.791","2.152","2.102","1.480","1.380","2.244","2.469","41.611","2.603","2.331","2.212","33.586","2.115"
"EBITDA per Share","-","-","-","1.328","5.562","-1.688","-1.315","-0.997","4.142","1.132","2.842","0.649","-6.443","-2.606","-0.242","0.585","-0.948","-0.388","-0.162","0.829","3.299","","-","-","-","-","-","-","-","-","-","-","-","-","1.084","1.153","1.501","1.434","1.604","0.625","-0.199","-0.977","-1.132","-0.971","0.017","0.204","-0.567","0.014","-0.059","-1.181","0.359","0.880","1.518","1.086","0.559","0.396","0.369","0.080","0.283","0.284","0.802","0.825","0.930","0.397","0.417","-0.050","-0.119","-0.132","-0.455","-0.652","-5.204","-0.988","-0.783","-0.523","-0.316","-0.326","-0.073","-0.068","0.224","0.154","0.306","0.073","0.050","-0.243","0.064","-0.248","-0.488","-0.268","-0.088","-0.103","0.066","0.061","-0.189","-0.103","0.067","0.140","4.450","0.290","0.121","0.112","2.913","0.153"
"EBIT per Share","-","-","-","0.521","4.753","-2.561","-1.795","-1.547","3.234","0.186","2.047","-0.211","-7.361","-2.893","-0.512","0.274","-1.204","-0.575","-0.327","0.668","2.596","","-","-","-","-","-","-","-","-","-","-","-","-","0.299","0.920","1.278","1.254","1.403","0.438","-0.392","-1.173","-1.427","-1.090","-0.111","0.083","-0.678","-0.246","-0.306","-1.204","0.216","0.659","1.309","0.864","0.316","0.151","0.134","-0.142","0.042","0.089","0.599","0.630","0.728","0.197","0.208","-0.269","-0.349","-0.354","-0.679","-0.879","-5.449","-1.060","-0.855","-0.595","-0.387","-0.401","-0.141","-0.131","0.160","0.086","0.228","-0.007","-0.035","-0.314","0.000","-0.314","-0.543","-0.320","-0.137","-0.148","0.025","0.021","-0.231","-0.144","0.025","0.101","3.837","0.247","0.080","0.082","2.317","0.117"
"Earnings per Share (diluted)","-","-","-","0.600","4.520","-0.840","-1.080","-4.640","2.920","-0.160","1.600","-0.440","-7.640","-3.000","-0.680","0.200","-1.280","-0.640","-0.400","0.480","1.770","","-","-","-","-","-","-","-","-","-","-","-","-","0.440","0.960","1.080","1.200","1.280","0.680","-0.080","-0.680","-0.760","-0.720","-0.080","0.008","-0.280","-0.240","-3.200","-1.280","0.120","0.520","1.320","0.760","0.280","0.080","0.040","-0.200","-0.040","0.040","0.480","0.480","0.600","0.120","0.200","-0.320","-0.400","-0.440","-0.760","-0.960","-5.480","-1.120","-0.880","-0.600","-0.400","-0.440","-0.160","-0.240","0.160","0.080","0.160","0.040","-0.080","-0.360","0.000","-0.320","-0.560","-0.320","-0.160","-0.160","0.000","0.006","-0.240","-0.160","0.000","0.080","3.200","0.200","0.020","0.080","1.600","0.070"
"eps without NRI","-","-","-","0.600","4.520","-0.840","-1.080","-4.640","2.920","-0.160","1.600","-0.440","-7.640","-3.000","-0.680","0.200","-1.280","-0.640","-0.400","0.480","1.770","","-","-","-","-","-","-","-","-","-","-","-","-","0.440","0.960","1.080","1.200","1.280","0.680","-0.080","-0.680","-0.760","-0.720","-0.080","0.010","-0.280","-0.240","-3.200","-1.280","0.120","0.520","1.320","0.760","0.280","0.080","0.040","-0.200","-0.040","0.040","0.480","0.480","0.600","0.120","0.200","-0.320","-0.400","-0.440","-0.760","-0.960","-5.480","-1.120","-0.880","-0.600","-0.400","-0.440","-0.160","-0.240","0.160","0.080","0.160","0.040","-0.080","-0.360","0.000","-0.320","-0.560","-0.320","-0.160","-0.160","0.000","0.010","-0.240","-0.160","0.000","0.080","3.200","0.200","0.020","0.080","1.600","0.070"
"Owner Earnings per Share (TTM)","-","-","-","0.000","0.000","0.000","0.000","0.000","3.675","-0.407","0.970","-2.057","-7.092","-2.116","-0.552","-0.218","-0.853","-0.803","-0.855","0.322","-0.498","","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2.235","3.675","3.023","1.784","1.198","-0.407","-1.095","-1.279","-0.436","0.970","0.251","0.302","-0.440","-2.057","-0.883","-1.684","-2.208","-7.092","-7.280","-7.517","-7.426","-2.116","-1.785","-0.583","-0.152","-0.552","-0.198","-0.892","-0.541","-0.218","-0.507","-0.350","-0.619","-0.853","-0.601","-0.783","-0.814","-0.803","-0.777","-0.810","-0.888","-0.855","-0.380","-0.752","0.043","0.322","-0.306","-9.470","-0.498"
"Free Cashflow per Share","-","-","-","-2.368","3.535","-1.899","-2.767","-2.469","2.613","-0.796","0.477","-1.629","-2.029","-1.329","-0.279","0.052","-0.416","-0.583","-0.608","0.543","-3.796","","-","-","-","-","-","-","-","-","-","-","-","-","-2.478","-0.160","0.233","1.635","1.705","-1.443","-0.123","0.354","-0.685","-0.730","-0.851","-0.739","-0.445","-1.200","-0.193","-1.031","-0.046","0.153","1.305","0.105","0.965","-0.396","0.103","-0.207","-0.295","-1.081","0.041","0.655","0.866","-1.967","0.182","0.111","0.054","-0.527","-0.482","-0.438","-0.583","-0.476","-0.648","-0.353","0.147","-0.389","0.455","-0.034","-0.311","-0.066","-0.274","0.303","0.092","-0.368","-0.116","0.039","0.027","-0.075","-0.336","-0.007","-0.166","-0.145","-0.296","-0.073","-0.089","0.284","1.420","0.000","0.176","-0.375","-3.703","0.106"
"Dividends per Share","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"Book Value per Share","-","-","-","14.467","20.254","19.016","18.425","14.290","17.739","17.021","18.861","18.977","12.398","8.317","7.772","8.045","6.882","6.393","5.974","6.328","6.744","","-","-","-","-","-","-","-","-","-","-","-","-","0.000","14.988","4.663","19.062","20.254","20.622","20.385","19.967","19.016","18.275","18.513","18.568","18.425","18.186","15.013","13.974","14.290","14.986","16.140","17.022","17.739","17.617","17.403","17.146","17.021","17.091","17.763","18.190","18.861","19.058","19.064","19.159","18.977","19.294","18.152","16.979","12.398","9.908","9.171","8.692","8.317","7.895","7.643","7.589","7.772","7.927","8.190","8.109","8.045","7.708","7.628","7.394","6.882","6.496","6.374","6.311","6.393","6.402","6.217","5.994","5.974","6.037","6.318","6.509","6.328","6.687","6.585","6.744"
