Downloaded from http://www.GuruFocus.com on 2017-01-14 at 16:39(CST), Saturday
Filename: NAS:ACOR.csv
Change log: Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NAS:ACOR,Acorda Therapeutics Inc,USA,Healthcare,Biotechnology,BiotechnologyBiotechnology
Key Statistics:
"Price ($)","21.40"
"Market Cap ($ Million)","986.860"
"Shares Outstanding ($ Million)","46.11"
"P/E","0.00"
"P/B","1.48"
"P/S","1.88"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","12.90","15.10","1.80"
"EBITDA  Growth (%)","0.00","0.00","-108.40"
"Free Cash Flow Growth (%)","0.00","0.00","-3.30"
"Book Value Growth (%)","0.00","0.00","7.80"

20 Year Financials of NAS:ACOR - Acorda Therapeutics Inc10 Year Financials of NAS:ACOR - Acorda Therapeutics Inc

All Numbers are in Millions except per share data and ratios

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199606","199706","199806","199906","200006","200106","200206","200306","200412","200512","200612","200712","200812","200912","201012","201112","201212","201312","201412","201512","TTM/current",",","199506","199509","199512","199603","199606","199609","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609"
"Revenue per Share","-","-","-","-","-","-","-","1.904","2.419","25.225","1.491","1.505","1.409","1.449","4.980","7.294","7.582","8.071","9.437","11.294","11.387","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-769.450","0.811","0.000","12.646","13.304","0.349","0.489","0.317","0.421","0.351","0.388","0.371","0.427","0.379","0.350","0.353","0.367","0.331","0.333","0.403","0.383","0.467","1.118","1.591","1.742","1.580","1.676","2.316","1.813","1.763","1.887","1.928","2.020","1.804","2.093","2.022","2.221","1.906","2.289","2.501","2.771","2.376","2.627","3.412","3.001","2.586","2.811","2.989"
"EBITDA per Share","-","-","-","-","-","-","-","-103.237","-210.591","-159.794","-1.193","-1.479","-2.153","-2.080","-0.102","1.004","0.764","0.912","1.076","1.143","-0.090","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","577.719","-93.466","0.000","-34.770","-41.304","-0.636","-0.110","-0.323","-0.352","-0.329","-0.329","-0.307","-0.545","-0.532","-0.478","-0.546","-0.607","-0.451","-0.579","-0.395","-0.584","-0.501","-0.121","0.361","0.140","0.044","0.054","0.543","0.364","0.245","0.155","0.289","0.077","-0.023","0.251","0.315","0.367","0.127","0.307","0.539","0.108","0.063","0.229","0.677","0.181","-0.058","-0.219","0.006"
"EBIT per Share","-","-","-","-","-","-","-","-103.237","-226.096","-168.676","-1.279","-1.503","-2.164","-2.153","-0.205","0.888","0.648","0.745","0.877","0.799","-0.529","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","834.727","-93.466","0.000","-34.770","-43.721","-0.676","-0.133","-0.344","-0.368","-0.329","-0.332","-0.318","-0.555","-0.538","-0.524","-0.546","-0.613","-0.479","-0.589","-0.503","-0.584","-0.523","-0.145","0.335","0.111","0.015","0.027","0.518","0.328","0.222","0.129","0.261","0.037","-0.058","0.214","0.275","0.310","0.085","0.263","0.498","0.035","-0.026","0.142","0.593","0.092","-0.146","-0.351","-0.124"
"Earnings per Share (diluted)","-","-","-","-","-","-","-","-201.030","-351.760","-295.270","-3.270","-1.450","-2.190","-2.220","-0.310","0.760","3.840","0.390","0.420","0.250","-0.480","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-200.350","-117.340","-514.250","-66.620","-74.100","-3.950","-0.150","-0.370","-0.100","-0.320","-0.330","-0.300","-0.500","-0.540","-0.580","-0.530","-0.540","-0.500","-0.620","-0.510","-0.590","-0.560","-0.180","0.310","0.090","-0.020","-0.010","0.470","0.310","0.190","0.110","0.240","3.290","-0.030","0.090","0.180","0.140","0.020","0.110","0.280","0.010","-0.070","0.020","0.090","0.210","-0.010","-0.400","-0.280"
"eps without NRI","-","-","-","-","-","-","-","-201.030","-351.760","-295.286","-3.297","-1.450","-2.190","-2.220","-0.310","0.760","3.840","0.390","0.420","0.250","-0.480","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-200.350","-117.340","-511.660","-65.680","-74.100","-3.950","-0.150","-0.370","-0.100","-0.320","-0.330","-0.300","-0.500","-0.540","-0.580","-0.530","-0.540","-0.500","-0.620","-0.510","-0.590","-0.560","-0.180","0.310","0.090","-0.020","-0.010","0.470","0.310","0.190","0.110","0.240","3.290","-0.030","0.090","0.180","0.140","0.020","0.110","0.280","0.010","-0.070","0.020","0.090","0.210","-0.010","-0.400","-0.280"
"Owner Earnings per Share (TTM)","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.428","-1.227","0.494","3.775","0.118","0.493","-0.061","-0.729","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.911","0.428","0.220","-0.170","-1.586","-1.227","-0.942","-0.241","-0.274","0.494","0.884","1.109","0.904","3.775","3.541","3.310","3.243","0.118","0.365","0.572","0.933","0.493","0.045","-0.413","-0.381","-0.061","0.431","0.146","-0.729"
"Free Cashflow per Share","-","-","-","-","-","-","-","-101.357","-138.742","-99.740","-1.307","-1.411","-1.649","0.960","-0.747","1.511","0.956","0.771","1.572","0.720","0.434","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","196.614","-31.333","0.000","0.000","0.000","-1.392","-0.223","-0.300","0.078","-0.521","-0.169","-0.370","-0.386","-0.329","-0.422","-0.402","-0.532","-0.526","-0.324","2.163","-0.356","-0.818","-0.708","0.708","0.032","-0.336","0.050","1.054","0.731","-0.019","0.218","0.407","0.352","-0.235","0.135","0.420","0.437","0.051","0.428","0.878","0.220","-0.285","0.031","0.483","0.483","0.117","-0.243","0.077"
"Dividends per Share","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"Book Value per Share","-","-","-","-","-","-","-","141.880","-305.944","-571.284","0.789","2.220","5.493","3.620","3.901","5.218","9.699","10.772","12.903","14.027","14.454","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","70.217","0.000","-486.483","-571.284","-0.014","-0.112","-0.428","0.789","0.563","2.488","2.625","2.220","3.905","3.426","5.981","5.493","5.070","4.552","4.137","3.620","3.212","3.199","3.691","3.901","3.931","4.161","4.778","5.218","5.473","5.821","6.218","9.699","9.661","10.112","10.500","10.772","10.819","12.187","12.680","12.903","12.828","13.075","13.407","14.027","14.883","14.572","14.454"
