Downloaded from http://www.GuruFocus.com on 2017-01-14 at 16:39(CST), Saturday
Filename: NAS:ACRX.csv
Change log: Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NAS:ACRX,AcelRx Pharmaceuticals Inc,USA,Healthcare,Medical Devices,Medical DevicesMedical Devices
Key Statistics:
"Price ($)","2.85"
"Market Cap ($ Million)","129.200"
"Shares Outstanding ($ Million)","45.33"
"P/E","0.00"
"P/B","39.58"
"P/S","10.18"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","0.00","0.00","-28.90"
"EBITDA  Growth (%)","0.00","-47.80","0.00"
"Free Cash Flow Growth (%)","0.00","-45.20","0.00"
"Book Value Growth (%)","0.00","0.00","-92.00"

20 Year Financials of NAS:ACRX - AcelRx Pharmaceuticals Inc10 Year Financials of NAS:ACRX - AcelRx Pharmaceuticals Inc

All Numbers are in Millions except per share data and ratios

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199612","199712","199812","199912","200012","200112","200212","200312","200412","200512","200612","200712","200812","200912","201012","201112","201212","201312","201412","201512","TTM/current",",","199603","199606","199609","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609"
"Revenue per Share","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.062","0.108","0.742","0.118","0.433","0.280","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.002","0.021","0.036","0.017","0.011","0.007","0.076","0.025","0.011","0.013","0.695","0.002","0.002","0.109","0.005","0.004","0.043","0.342","0.039","0.067","0.100","0.074"
"EBITDA per Share","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-32.205","-17.819","-0.996","-1.316","-0.153","-0.673","-0.365","-0.671","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-6.000","-5.267","-4.876","-3.716","-4.146","-0.318","-0.232","-0.272","-0.234","-0.322","-0.311","-0.348","-0.384","-0.328","-0.453","-0.253","0.842","-0.194","-0.223","0.037","-0.284","-0.197","-0.172","0.163","-0.163","-0.168","-0.167","-0.173"
"EBIT per Share","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-33.040","-18.548","-1.026","-1.343","-0.168","-0.693","-0.410","-0.715","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-6.205","-5.458","-5.060","-3.894","-4.329","-0.329","-0.238","-0.278","-0.244","-0.330","-0.320","-0.354","-0.390","-0.331","-0.457","-0.257","0.838","-0.198","-0.227","0.034","-0.293","-0.208","-0.183","0.152","-0.174","-0.179","-0.178","-0.184"
"Earnings per Share (diluted)","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-34.930","-21.840","-1.160","-1.510","-0.590","-0.910","-0.600","-0.980","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.021","-34.930","-5.850","-5.410","-5.380","-5.210","-0.300","-0.250","-0.300","-0.330","-0.360","-0.350","-0.380","-0.420","-0.340","-0.470","-0.260","0.480","-0.220","-0.300","-0.130","-0.320","-0.270","-0.200","0.110","-0.240","-0.250","-0.240","-0.250"
"eps without NRI","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-34.930","-21.840","-1.160","-1.510","-0.590","-0.910","-0.600","-0.980","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.020","-34.930","-5.850","-5.410","-5.380","-5.210","-0.300","-0.250","-0.300","-0.330","-0.360","-0.350","-0.380","-0.420","-0.340","-0.470","-0.260","0.480","-0.220","-0.300","-0.130","-0.320","-0.270","-0.200","0.110","-0.240","-0.250","-0.240","-0.250"
"Owner Earnings per Share (TTM)","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","-0.793","-0.656","-0.642","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.386","-0.006","-0.793","-0.738","-0.818","-0.987","-0.656","-0.641","-0.632","-0.642"
"Free Cashflow per Share","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-33.905","-18.613","-0.998","-1.148","-0.095","-0.902","-0.481","-0.312","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-7.253","0.000","0.000","0.000","0.000","-0.131","-0.199","-0.299","-0.359","-0.416","-0.224","-0.297","-0.267","-0.262","-0.256","-0.194","0.592","-0.261","-0.240","-0.190","-0.218","-0.254","-0.250","-0.127","0.150","-0.142","-0.184","-0.136"
"Dividends per Share","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"Book Value per Share","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-92.003","-100.292","0.893","0.913","1.699","1.067","0.731","0.072","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-92.003","0.000","0.000","3.368","-100.292","1.650","1.463","1.195","0.893","0.560","0.337","-0.014","0.913","0.589","0.161","1.236","1.699","1.502","1.281","1.352","1.067","0.927","0.753","0.899","0.731","0.517","0.298","0.072"
