Downloaded from http://www.GuruFocus.com on 2017-01-14 at 16:39(CST), Saturday
Filename: NAS:ACTA.csv
Change log: Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NAS:ACTA,Actua Corp,USA,Technology,Application Software,Software - ApplicationSoftware - Application
Key Statistics:
"Price ($)","14.50"
"Market Cap ($ Million)","505.880"
"Shares Outstanding ($ Million)","34.89"
"P/E","0.00"
"P/B","1.89"
"P/S","3.37"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","3.50","23.80","38.40"
"EBITDA  Growth (%)","0.00","0.00","0.00"
"Free Cash Flow Growth (%)","-5.60","22.50","0.00"
"Book Value Growth (%)","4.10","4.10","-21.10"

20 Year Financials of NAS:ACTA - Actua Corp10 Year Financials of NAS:ACTA - Actua Corp

All Numbers are in Millions except per share data and ratios

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199612","199712","199812","199912","200012","200112","200212","200312","200412","200512","200612","200712","200812","200912","201012","201112","201212","201312","201412","201512","TTM/current",",","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609"
"Revenue per Share","-","-","0.552","1.635","3.122","7.262","5.932","3.828","1.172","1.089","1.699","1.396","1.868","2.459","2.947","0.344","0.729","1.620","2.285","3.598","4.318","","-","-","-","-","-","-","-","-","0.552","0.434","0.627","0.659","0.168","0.135","0.251","1.171","1.546","2.028","1.614","2.556","1.068","2.025","2.125","2.233","-0.769","1.439","1.775","1.544","-0.877","0.381","0.338","0.344","0.125","0.321","0.223","0.330","0.276","0.406","0.427","0.404","0.446","0.312","0.331","0.384","0.371","0.419","0.458","0.441","0.537","0.590","0.602","0.614","0.653","0.709","0.719","0.818","0.717","0.894","0.956","0.961","-2.444","0.960","1.192","0.220","0.247","0.326","0.370","0.443","0.484","0.497","0.510","0.556","0.717","0.830","0.903","0.671","1.631","0.928","0.999","0.760"
"EBITDA per Share","-","-","-2.832","-4.250","14.249","-163.510","-5.594","-5.494","-3.475","2.371","0.449","-0.499","0.401","0.085","1.900","0.650","0.726","-0.868","-1.032","-2.162","-2.016","","-","-","-","-","-","-","-","-","-2.784","-0.238","-2.016","-1.729","-2.923","42.245","-9.930","2.833","-23.375","-110.772","-26.683","-5.946","-75.214","-3.527","1.717","1.699","-7.005","-1.058","-0.733","-0.396","-3.484","-0.230","-0.141","-0.165","-2.983","-0.026","0.062","2.450","-0.149","-0.098","-0.164","0.276","0.409","-0.476","-0.054","-0.049","0.079","0.038","-0.163","0.745","-0.231","-0.140","-0.118","0.193","0.150","1.019","0.563","0.226","0.113","0.633","0.016","0.017","0.016","-0.057","0.026","0.600","0.457","-0.224","-0.161","-0.146","-0.337","-0.190","-0.317","-0.338","-0.184","-0.284","-0.301","-0.242","-1.418","-0.275","-0.225","-0.098"
"EBIT per Share","-","-","-3.028","-5.509","-4.798","-173.663","-7.021","-6.353","-3.580","2.286","0.359","-0.539","0.352","0.037","1.802","0.588","0.545","-1.188","-1.411","-2.695","-2.602","","-","-","-","-","-","-","-","-","-2.980","-0.322","-2.324","-2.214","-3.379","41.824","-20.764","-12.468","-32.181","-118.015","-28.349","-7.457","-75.214","-3.866","1.436","1.513","-7.005","-1.186","-0.881","-0.506","-3.962","-0.254","-0.160","-0.183","-2.998","-0.052","0.046","2.426","-0.172","-0.124","-0.191","0.256","0.393","-0.486","-0.064","-0.060","0.069","0.029","-0.174","0.734","-0.249","-0.153","-0.131","0.182","0.139","0.995","0.537","0.199","0.091","0.603","-0.015","-0.016","0.007","-0.090","-0.037","0.558","0.392","-0.317","-0.230","-0.238","-0.403","-0.275","-0.399","-0.429","-0.305","-0.426","-0.431","-0.329","-1.636","-0.407","-0.365","-0.194"
"Earnings per Share (diluted)","-","-","2.400","-3.000","-48.470","-168.050","-7.630","-8.980","-3.790","1.730","0.410","-0.810","-0.600","0.420","1.260","0.740","0.630","5.720","-0.630","-2.590","-2.400","","-","-","-","-","-","-","-","-","2.400","2.800","-1.400","-1.400","-2.200","26.000","-14.000","-18.800","-41.270","-121.400","-25.600","-17.200","-2.850","-4.400","-1.000","1.000","-3.230","-1.340","-1.800","-2.400","-3.180","-3.890","-0.050","-0.190","-0.030","-0.080","0.040","1.990","-0.350","-0.130","-0.210","0.340","0.390","-0.520","-0.110","-0.110","-0.080","-0.170","-0.320","0.580","-0.700","-0.300","-0.230","0.080","0.870","0.790","0.430","0.050","0.000","0.420","-0.090","-0.080","0.480","-0.190","-0.170","0.590","0.400","0.520","-0.190","-0.090","5.480","-0.270","-0.346","-0.286","0.275","-0.400","-0.410","-0.370","-1.400","-0.380","-0.350","-0.270"
"eps without NRI","-","-","2.400","-3.000","-47.960","-164.840","-6.450","-8.250","-3.860","1.760","0.190","-0.830","-0.600","0.420","1.300","0.290","0.350","-0.700","-1.010","-2.590","-2.480","","-","-","-","-","-","-","-","-","2.400","2.800","-1.400","-1.400","-2.200","26.000","-14.000","-18.800","-40.760","-120.800","-25.600","-17.200","-0.240","-4.400","-1.000","1.000","-2.050","-1.320","-1.800","-2.400","-2.450","-3.890","-0.130","-0.190","-0.010","-0.070","0.040","1.970","-0.300","-0.140","-0.230","0.160","0.390","-0.520","-0.100","-0.140","-0.080","-0.170","-0.320","0.580","-0.700","-0.300","-0.230","0.080","0.870","0.790","0.420","0.040","0.060","0.420","-0.090","-0.080","0.030","-0.180","-0.160","0.560","0.290","-0.310","-0.250","-0.220","0.080","-0.270","-0.380","-0.350","0.275","-0.400","-0.410","-0.310","-1.580","-0.380","-0.350","-0.170"
"Owner Earnings per Share (TTM)","-","-","0.000","0.000","0.000","0.000","0.000","-14.082","-4.155","1.648","0.638","-1.032","-0.593","0.025","1.379","0.748","1.081","6.086","-0.283","-1.775","-1.606","","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","-11.437","-14.082","-6.492","-5.465","-5.191","-4.155","-3.880","-2.916","-0.172","1.648","2.020","1.836","-0.679","0.638","-0.125","0.001","-0.459","-1.032","-0.658","-0.746","-0.046","-0.593","-0.661","-0.611","-1.118","0.025","1.078","1.893","1.873","1.379","1.151","0.515","0.341","0.748","-0.014","-0.105","0.895","1.081","1.945","1.889","1.043","6.086","5.166","5.073","4.737","-0.283","-0.196","-0.210","-0.251","-1.775","-1.994","-1.910","-1.606"
"Free Cashflow per Share","-","-","-9.012","-37.402","-23.686","-19.442","-6.080","-2.753","-0.704","-1.191","-0.248","-0.456","-0.367","-0.326","-0.054","-0.296","-0.482","-0.528","-0.482","-0.164","-0.264","","-","-","-","-","-","-","-","-","0.000","-3.458","2.100","-1.061","-35.292","-0.733","-5.442","-7.680","-9.799","-7.212","-4.182","-7.603","-0.443","-1.376","-2.449","-2.104","0.149","-0.651","-1.374","-0.740","-0.240","-0.223","-0.283","-0.180","-0.025","-0.253","-0.221","-0.107","-0.646","0.059","-0.104","-0.109","-0.087","-0.325","-0.083","-0.053","0.004","0.000","0.000","0.000","0.000","-0.244","0.034","-0.082","-0.034","-0.316","0.167","-0.061","0.150","-0.162","0.083","0.039","-0.251","-0.289","0.016","-0.089","-0.124","-0.298","-0.128","-0.026","-0.075","-0.277","-0.078","-0.240","0.114","-0.183","-0.016","0.042","-0.009","-0.380","0.019","0.106"
"Dividends per Share","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"Book Value per Share","-","-","14.372","107.754","161.421","2.416","-3.602","-0.883","4.301","6.519","7.734","7.882","6.476","7.719","6.049","6.566","7.008","11.778","12.434","8.414","7.716","","-","-","-","-","-","-","-","-","0.000","17.248","9.360","33.083","107.754","132.404","208.342","199.676","161.421","45.138","17.750","1.053","2.416","-1.802","-2.870","-1.460","-3.602","-4.808","-6.470","-2.741","-0.883","3.382","4.788","4.384","4.301","4.217","4.351","6.607","6.519","6.578","6.567","6.841","7.734","7.458","8.053","8.432","7.882","7.330","7.332","8.006","6.476","6.792","6.414","6.651","7.719","7.489","6.513","6.083","6.049","6.475","6.375","6.223","6.566","6.361","6.190","6.737","7.008","7.510","7.353","7.286","11.778","10.781","10.544","10.386","12.434","10.298","9.970","9.778","8.414","8.180","7.912","7.716"
