Downloaded from http://www.GuruFocus.com on 2017-01-14 at 16:39(CST), Saturday
Filename: NAS:ACTG.csv
Change log: Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NAS:ACTG,Acacia Research Corp,USA,Industrials,Business Services,Business ServicesBusiness Services
Key Statistics:
"Price ($)","6.20"
"Market Cap ($ Million)","328.010"
"Shares Outstanding ($ Million)","50.46"
"P/E","0.00"
"P/B","1.15"
"P/S","1.85"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","12.90","-10.90","39.20"
"EBITDA  Growth (%)","0.00","0.00","0.00"
"Free Cash Flow Growth (%)","0.00","0.00","0.00"
"Book Value Growth (%)","19.40","19.40","-36.20"

20 Year Financials of NAS:ACTG - Acacia Research Corp10 Year Financials of NAS:ACTG - Acacia Research Corp

All Numbers are in Millions except per share data and ratios

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199612","199712","199812","199912","200012","200112","200212","200312","200412","200512","200612","200712","200812","200912","201012","201112","201212","201312","201412","201512","TTM/current",",","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609"
"Revenue per Share","0.560","0.202","0.043","0.024","0.003","1.279","0.002","0.035","0.217","0.735","1.264","1.845","1.639","2.251","3.758","4.290","5.269","2.711","2.690","2.526","3.356","","-0.673","0.036","0.123","0.037","0.081","0.025","0.046","0.040","0.031","0.007","0.003","0.000","0.015","0.001","0.002","0.001","0.000","0.152","0.569","0.555","0.057","0.013","0.022","0.009","-0.042","0.000","0.001","0.009","0.024","0.030","0.034","0.113","0.039","0.076","0.166","0.248","0.310","0.172","0.474","0.306","0.265","0.813","0.207","0.332","0.421","0.310","0.243","0.467","0.621","0.572","0.483","0.538","0.664","1.190","0.474","1.822","0.373","1.677","0.936","1.180","0.518","2.164","1.032","0.718","1.393","1.598","0.481","0.321","0.313","0.260","1.032","0.762","0.638","0.695","0.816","0.262","0.757","0.495","0.827","1.277"
"EBITDA per Share","0.389","-1.206","-0.507","-0.607","-2.187","-1.822","-0.589","-0.274","-0.278","-0.085","-0.053","-0.134","-0.273","-0.032","1.301","0.999","2.513","-0.699","-0.167","-2.006","-2.031","","0.000","0.000","0.000","0.000","0.000","0.000","-0.641","0.000","0.000","0.000","0.000","0.000","0.000","-0.364","-0.701","-0.982","-0.311","-0.786","-0.451","-0.302","-0.398","-0.405","-0.656","-1.719","2.244","-0.079","-0.071","-0.068","-0.056","-0.051","-0.053","-0.094","-0.080","-0.038","-0.126","-0.021","-0.002","-0.053","0.072","0.051","-0.078","0.174","-0.098","-0.133","-0.092","-0.113","-0.136","-0.049","0.023","0.020","0.009","-0.043","-0.018","0.631","-0.071","0.855","-0.091","0.671","0.112","0.336","-0.087","1.518","0.311","0.043","0.689","0.392","-0.215","-0.469","-0.406","-0.238","0.152","0.020","-0.102","-0.010","0.289","-0.264","-2.020","0.022","-0.483","0.450"
"EBIT per Share","0.381","-1.419","-0.697","-0.770","-2.349","-2.023","-0.680","-0.306","-0.306","-0.272","-0.249","-0.334","-0.483","-0.191","1.101","0.754","1.690","-1.722","-1.277","-3.083","-2.857","","0.000","0.000","0.000","0.000","0.000","0.000","-0.641","0.000","0.000","0.000","0.000","0.000","0.000","-0.401","-0.744","-1.039","-0.349","-0.835","-0.502","-0.352","-0.458","-0.452","-0.704","-1.769","2.244","-0.087","-0.079","-0.076","-0.064","-0.057","-0.060","-0.101","-0.087","-0.076","-0.215","-0.070","-0.053","-0.102","0.027","-0.052","-0.126","0.131","-0.145","-0.184","-0.146","-0.159","-0.179","-0.089","-0.056","-0.017","-0.027","-0.086","-0.061","0.579","-0.131","0.799","-0.131","0.567","0.050","0.290","-0.123","1.406","0.200","-0.172","0.308","0.147","-0.478","-0.731","-0.660","-0.539","-0.170","-0.259","-0.313","-0.277","0.020","-0.541","-2.286","-0.194","-0.699","0.322"
"Earnings per Share (diluted)","0.160","-1.150","-0.690","-0.750","-2.380","-1.160","-0.650","-0.280","-0.280","-0.240","-0.190","-0.260","-0.470","-0.380","0.970","0.500","1.210","-1.180","-1.370","-3.250","-3.200","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","-0.120","0.000","0.000","0.000","-0.750","-0.260","-0.430","-0.690","-0.960","-0.550","-0.270","-0.140","-0.270","-0.330","-0.490","-1.050","1.220","-0.080","-0.080","-0.070","-0.060","-0.050","-0.060","-0.090","-0.080","-0.080","-0.199","-0.060","-0.040","-0.090","0.040","-0.040","-0.110","0.140","-0.130","-0.160","-0.120","-0.150","-0.170","-0.080","-0.060","-0.010","-0.100","-0.110","-0.160","0.550","-0.120","0.700","-0.190","0.340","0.050","0.250","-0.140","1.090","0.130","-0.140","0.190","0.100","-0.260","-0.330","-0.690","-0.510","-0.270","-0.260","-0.330","-0.270","-0.080","-0.550","-2.350","-0.200","-0.810","0.160"
"eps without NRI","0.160","-1.150","-0.690","-0.680","-1.780","-1.156","-0.639","-0.280","-0.270","-0.230","-0.195","-0.258","-0.470","-0.380","0.970","0.500","1.210","-1.180","-1.370","-3.250","-3.200","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","-0.120","0.000","0.000","0.000","-0.680","-0.260","-0.430","-0.690","-0.360","-0.550","-0.270","-0.140","-0.270","-0.330","-0.490","-1.040","1.220","-0.080","-0.080","-0.070","-0.060","-0.050","-0.050","-0.090","-0.070","-0.070","-0.200","-0.060","-0.040","-0.090","0.040","-0.040","-0.110","0.140","-0.130","-0.160","-0.120","-0.150","-0.170","-0.080","-0.060","-0.010","-0.100","-0.110","-0.160","0.550","-0.120","0.700","-0.190","0.340","0.050","0.250","-0.140","1.090","0.130","-0.140","0.190","0.100","-0.260","-0.330","-0.690","-0.510","-0.270","-0.260","-0.330","-0.270","-0.080","-0.550","-2.350","-0.200","-0.810","0.160"
"Owner Earnings per Share (TTM)","0.000","0.000","0.000","0.000","-2.291","-0.634","-0.615","-0.360","-0.330","-0.762","-0.242","-0.201","-0.191","0.035","0.882","0.998","0.820","-1.155","-1.417","-3.787","-4.066","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","-2.291","-2.403","-2.274","-1.653","-0.634","-0.538","-0.719","-1.482","-0.615","-0.344","-0.070","0.680","-0.360","-0.282","-0.250","-0.306","-0.330","-0.283","-0.422","-0.253","-0.762","-0.764","-0.430","-0.495","-0.242","-0.003","-0.280","-0.296","-0.201","-0.563","-0.458","-0.550","-0.191","0.036","0.175","0.004","0.035","0.501","0.307","0.696","0.882","1.276","0.862","0.998","0.998","1.515","1.797","1.316","0.820","-0.231","-0.563","-1.206","-1.155","-1.929","-1.624","-0.672","-1.417","-1.335","-1.591","-1.676","-3.787","-3.198","-3.581","-4.066"
"Free Cashflow per Share","-0.560","-0.726","-0.438","-0.587","-2.261","-0.848","-0.229","-0.296","-0.204","-0.842","-0.605","-0.100","0.015","0.215","1.044","1.139","-1.554","-0.607","-0.795","-0.595","0.000","","0.000","-0.120","-0.146","-0.256","0.000","-0.313","-0.439","-0.418","-0.115","-0.111","0.000","-0.212","-0.191","-0.534","-0.596","-0.661","-0.644","-0.496","-0.078","-0.074","-0.258","-0.609","-0.114","-0.411","0.903","-0.106","-0.056","-0.065","-0.070","-0.030","-0.038","-0.052","-0.083","-0.046","-0.346","0.353","-0.807","-0.026","0.088","-0.265","-0.411","0.107","-0.282","0.120","-0.058","-0.187","-0.004","-0.014","0.217","0.083","0.212","-0.402","0.326","0.532","-0.123","0.380","0.268","0.980","-0.294","0.418","0.114","1.023","-0.491","-0.364","-1.660","0.261","-0.023","-0.565","-0.279","-0.445","-0.027","0.248","-0.574","-0.664","0.153","0.156","0.000","0.202","0.000","0.000"
"Dividends per Share","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.375","0.500","0.500","0.250","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.000","0.000","0.000"
"Book Value per Share","1.493","3.305","2.000","4.164","3.679","3.050","2.064","1.763","1.454","2.230","3.366","2.153","1.895","1.675","3.077","7.453","12.439","11.251","9.658","6.125","5.408","","1.493","1.404","1.802","2.591","3.305","5.862","8.378","8.005","2.000","1.793","1.609","1.864","4.164","4.152","3.600","4.973","3.679","4.055","3.660","3.251","3.050","2.669","2.177","1.098","2.064","1.974","1.886","3.309","1.763","1.699","1.635","1.537","1.454","2.419","2.344","2.265","2.230","2.175","3.526","3.460","3.366","2.382","2.288","2.166","2.153","2.063","1.913","1.900","1.895","1.821","1.779","1.675","1.675","2.235","2.240","3.025","3.077","7.054","7.169","7.500","7.453","12.156","12.469","12.376","12.439","12.669","12.249","11.962","11.251","10.569","10.317","10.011","9.658","9.170","9.049","8.473","6.125","5.986","5.217","5.408"
