Downloaded from http://www.GuruFocus.com on 2017-01-11 at 20:51(CST), Wednesday
Filename: NAS:GOOG.csv
Change log: Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NAS:GOOG,Alphabet Inc,USA,Technology,Online Media,Internet Content & InformationInternet Content & Information
Key Statistics:
"Price ($)","807.91"
"Market Cap ($ Million)","556842.750"
"Shares Outstanding ($ Million)","689.24"
"P/E","30.25"
"P/B","4.26"
"P/S","6.84"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","24.20","18.80","18.20"
"EBITDA  Growth (%)","22.40","13.80","30.80"
"Free Cash Flow Growth (%)","23.50","10.60","55.40"
"Book Value Growth (%)","25.30","25.30","15.10"

20 Year Financials of NAS:GOOG - Alphabet Inc10 Year Financials of NAS:GOOG - Alphabet Inc

All Numbers are in Millions except per share data and ratios

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199612","199712","199812","199912","200012","200112","200212","200312","200412","200512","200612","200712","200812","200912","201012","201112","201212","201312","201412","201512","TTM/current",",","199406","199409","199412","199503","199506","199509","199512","199603","199606","199609","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200212","200306","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609"
"Revenue per Share","-","-","-","-","0.143","0.232","0.857","2.859","5.851","10.526","17.146","26.264","34.355","37.058","45.397","57.977","69.272","81.933","96.062","108.220","120.658","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-85.101","0.000","0.605","1.223","1.316","1.468","1.893","2.194","2.412","2.727","3.291","3.709","3.965","4.334","5.183","5.824","6.143","6.689","7.639","8.178","8.447","8.727","8.986","8.692","8.678","9.305","10.457","10.511","10.584","11.311","13.068","13.149","13.855","14.857","16.187","16.138","17.864","19.976","15.472","19.253","19.370","20.272","23.180","22.504","23.246","24.008","26.348","25.030","25.659","25.044","30.781","28.967","30.853","30.057"
"EBITDA per Share","-","-","-","-","-0.110","0.029","0.420","0.775","1.447","4.178","6.664","9.579","12.818","15.520","18.884","21.773","26.355","29.396","32.513","35.816","40.139","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-12.795","0.000","0.204","0.292","0.321","0.096","0.652","0.871","0.945","1.082","1.260","1.517","1.780","1.909","1.476","2.475","2.107","2.478","2.739","2.969","3.100","3.203","3.540","3.608","3.537","3.840","4.567","4.373","4.201","4.744","5.462","4.289","5.454","5.920","6.136","6.179","6.327","5.487","8.432","7.139","5.497","5.592","8.263","8.146","6.454","5.641","8.469","8.422","7.211","6.594","9.568","9.338","10.965","10.268"
"EBIT per Share","-","-","-","-","-0.110","0.029","0.364","0.668","1.175","3.674","5.740","8.047","10.454","13.132","16.723","18.942","21.899","23.583","25.267","28.509","31.878","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-8.793","0.000","0.204","0.292","0.321","0.020","0.556","0.773","0.829","0.951","1.098","1.334","1.576","1.675","1.170","2.149","1.752","2.083","2.280","2.438","2.483","2.595","2.932","2.972","2.944","3.246","3.996","3.860","3.670","4.213","4.872","3.674","4.756","5.168","5.367","5.405","5.314","4.243","6.998","5.802","5.497","5.592","6.734","6.561","6.454","5.641","6.625","6.715","7.211","6.594","7.542","7.377","8.827","8.132"
"Earnings per Share (diluted)","-","-","-","-","-0.110","0.020","0.205","0.205","0.731","2.512","4.975","6.651","6.661","10.215","13.168","14.894","16.160","18.790","20.570","22.840","27.340","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-15,144.061","0.205","0.060","0.120","0.150","0.095","0.365","0.646","0.596","0.661","0.611","0.976","1.166","1.181","1.652","1.592","1.466","1.692","1.897","2.062","1.962","2.032","0.606","2.247","2.332","2.567","3.073","3.033","2.858","3.363","3.914","2.758","3.844","4.169","4.119","4.379","4.214","3.268","4.304","2.487","4.770","4.380","4.670","5.038","4.882","3.980","6.790","5.100","4.930","5.730","7.070","6.020","7.000","7.250"
"eps without NRI","-","-","-","-","-0.110","0.020","0.205","0.205","0.731","2.512","4.975","6.651","6.661","10.215","13.168","14.894","17.390","19.420","19.820","22.840","27.340","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-15,144.060","0.210","0.060","0.120","0.150","0.100","0.370","0.650","0.600","0.660","0.610","0.980","1.170","1.180","1.650","1.590","1.470","1.690","1.900","2.060","1.960","2.030","0.610","2.250","2.330","2.570","3.070","3.030","2.860","3.360","3.910","2.760","3.840","4.170","4.120","4.380","4.280","3.240","5.490","2.620","4.100","4.660","5.420","5.330","4.980","4.250","5.380","5.100","4.930","5.730","7.070","6.020","7.000","7.250"
"Owner Earnings per Share (TTM)","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.630","10.740","12.110","15.790","18.080","19.510","21.270","20.950","25.230","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","7.160","7.680","7.880","6.630","7.370","7.120","8.010","10.740","11.030","11.660","11.680","12.110","12.480","14.410","15.750","15.790","16.380","17.490","17.090","18.080","17.400","18.420","19.280","19.510","20.030","19.360","19.520","21.270","22.550","22.780","20.330","20.950","20.870","23.240","25.230"
"Free Cashflow per Share","-","-","-","-","0.000","0.000","0.230","0.426","1.207","2.780","2.713","5.338","8.661","13.328","10.936","17.019","20.081","16.678","16.617","23.248","33.006","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","1.155","0.000","0.000","0.000","0.000","0.000","0.676","0.814","0.612","0.708","0.790","0.229","0.825","0.880","0.990","1.039","1.707","1.607","1.479","1.682","2.730","2.765","3.135","2.310","3.974","3.933","3.638","2.497","3.304","1.519","3.499","3.994","4.998","4.547","4.680","5.262","4.703","5.490","3.612","4.572","4.118","4.402","2.986","4.343","5.198","4.094","5.504","6.631","5.014","5.764","7.479","10.041","9.722"
"Dividends per Share","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"Book Value per Share","-","-","-","-","0.203","0.000","0.253","1.062","5.362","15.950","27.856","36.299","44.902","56.705","72.029","89.570","108.771","130.116","152.486","175.065","194.595","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","1.715","4.739","5.362","6.184","7.086","14.890","15.950","17.247","21.964","23.535","27.856","29.578","31.522","33.655","36.299","38.780","41.244","43.687","44.902","47.283","49.973","53.251","56.705","60.200","63.796","67.869","72.029","75.899","80.642","84.759","89.570","94.769","99.074","103.627","108.771","114.114","118.464","124.296","130.116","148.652","141.467","145.485","152.486","158.719","163.070","169.031","175.065","179.923","186.201","194.595"
"Tangible Book per Share","-","-","-","-","0.203","0.000","0.253","0.856","5.007","15.480","24.763","31.906","35.621","47.763","60.658","75.823","81.455","103.949","122.820","146.381","166.451","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","1.526","4.473","5.007","5.848","6.698","14.503","15.480","16.440","21.199","22.694","24.763","26.444","28.215","29.235","31.906","29.227","31.706","34.354","35.621","38.189","40.968","44.293","47.763","50.903","53.284","56.750","60.658","64.520","68.144","71.677","75.823","81.154","71.547","75.844","81.455","87.021","91.491","97.762","103.949","117.055","112.183","115.737","122.820","129.517","134.152","140.387","146.381","151.496","158.109","166.451"
"Total Debt per Share","-","-","-","-","0.000","0.000","0.021","0.013","0.003","0.000","0.000","0.000","0.000","0.000","5.397","6.476","8.398","7.817","7.689","7.594","5.714","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.008","0.006","0.003","0.002","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","3.327","5.397","4.997","6.518","6.499","6.476","8.377","9.499","9.454","8.398","7.770","7.495","7.859","7.817","10.119","7.743","7.713","7.689","7.662","7.634","7.607","7.594","7.583","6.120","5.714"
"Month End Stock Price","-","-","-","-","0.000","0.000","0.000","0.000","96.490","207.630","232.460","346.080","153.970","310.290","297.270","323.260","354.040","560.890","524.960","758.880","807.550","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","64.860","96.490","90.340","147.220","158.380","207.630","195.190","209.870","201.140","232.460","229.300","261.940","283.910","346.080","220.450","263.470","200.450","153.970","174.200","211.000","248.170","310.290","283.830","222.690","263.150","297.270","293.660","253.440","257.770","323.260","320.930","290.330","377.620","354.040","397.480","440.630","438.370","560.890","555.450","573.710","575.780","524.960","546.500","520.510","608.420","758.880","744.950","692.100","777.290"
"Return on Equity %","-","-","-","-","-53.940","51.300","114.580","27.700","22.690","23.730","23.260","21.160","16.600","20.300","20.680","18.660","16.540","16.010","14.790","14.120","15.320","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","62.190","11.530","29.590","46.470","37.160","23.920","16.350","24.100","24.440","21.140","26.230","22.640","19.460","21.030","22.070","22.240","19.860","19.330","5.490","19.600","19.340","20.070","22.650","21.050","18.660","20.660","22.720","15.130","19.870","20.440","19.150","19.290","17.620","13.110","16.520","18.190","16.730","14.680","14.980","15.430","14.300","11.260","18.450","13.240","12.380","13.960","16.650","13.800","15.520","15.450"
"Return on Assets %","-","-","-","-","-31.340","29.800","69.470","18.240","19.070","21.570","21.410","19.190","14.800","18.040","17.300","14.930","12.910","12.440","11.770","11.820","12.620","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","47.630","9.860","26.330","41.140","32.790","21.860","15.100","21.970","22.450","19.500","24.130","20.830","17.860","19.120","19.830","19.750","17.570","17.200","4.890","17.440","17.300","18.000","20.190","18.760","16.190","17.100","18.300","12.210","16.050","16.300","15.270","15.440","13.650","9.900","12.580","14.050","13.050","11.520","11.810","12.140","11.260","8.860","14.670","10.710","11.550","11.240","13.500","11.320","12.830","12.880"
"Return on Capital  - Joel Greenblatt %","-","-","-","-","0.000","0.000","688.320","282.520","162.100","240.080","174.460","127.740","107.500","119.350","148.010","138.720","129.530","105.740","83.310","73.350","72.560","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","337.350","8.900","202.770","265.210","243.360","241.180","235.000","255.340","228.690","187.020","109.740","163.820","110.860","121.090","120.980","115.760","105.310","102.060","107.810","103.960","101.780","114.820","148.530","150.230","166.130","208.250","188.990","115.590","133.870","142.730","145.870","141.300","133.450","101.340","156.120","118.540","110.550","105.580","108.870","93.800","85.090","70.380","77.630","71.390","72.420","70.890","71.550","67.250","77.540","73.640"
"Return on Invested Capital %","-","-","-","-","-54.110","55.860","522.220","69.790","74.190","126.430","75.860","52.810","45.910","54.090","62.310","57.170","47.120","40.470","33.150","33.140","36.190","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","418.100","25.580","104.010","166.610","136.660","135.270","104.050","135.720","90.070","70.050","75.600","59.180","48.420","50.730","52.670","45.640","37.920","38.830","26.760","46.400","49.330","54.870","65.610","66.670","64.080","72.040","72.150","45.840","57.640","59.230","63.580","62.130","46.040","29.940","49.170","45.660","34.670","41.250","43.980","37.110","33.750","27.650","33.290","29.220","32.070","31.940","40.270","33.070","35.520","35.560"
"Weighted Average Cost Of Capital (WACC) %","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","10.960","13.560","14.560","11.950","11.750","8.190","10.780","10.210","7.970","8.820","8.310","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","9.580","10.960","13.670","12.040","12.530","13.560","18.620","20.220","20.020","14.560","11.430","11.960","11.650","11.950","11.910","11.140","10.980","11.750","11.170","10.010","8.270","8.190","11.010","9.980","10.290","10.780","10.330","10.930","9.780","10.210","9.240","9.160","9.470","7.970","8.390","9.040","8.160","8.820","8.510","8.440","9.290"
"Effective Interest Rate on Debt %","-","-","-","-","0.000","0.000","28.560","0.000","0.000","81.600","0.000","0.000","0.000","0.000","0.290","1.510","1.750","1.500","1.930","1.990","2.460","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","284.860","0.000","0.000","0.000","0.000","1,031.230","19,120.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.720","0.480","1.400","2.000","1.900","1.660","1.510","1.350","1.500","1.570","1.500","1.480","1.680","1.670","1.880","1.910","1.910","1.990","1.990","1.990","1.990","2.300","2.720","2.850"
"Gross Margin %","-","-","-","-","68.180","83.540","70.080","57.310","54.290","58.020","60.160","59.930","60.440","62.610","64.470","65.210","62.690","60.390","61.070","62.440","61.810","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","27.670","0.000","62.270","51.600","53.390","55.070","56.010","56.480","56.870","58.490","59.510","59.880","59.730","61.010","59.970","59.870","59.700","60.710","59.480","59.300","59.990","60.780","61.580","61.840","61.830","62.560","63.920","63.810","63.830","64.970","65.090","65.760","64.860","65.250","65.010","64.410","60.390","55.240","73.210","60.340","60.360","60.670","60.190","61.340","61.680","59.480","61.770","63.170","62.860","62.320","61.610","62.250","62.190","61.250"
